backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
20,-7.39355121853953179e+00,5.35187331927566845e+00,-1.69748993866552773e+01,1.43610524672868656e+00,9.60921312511684010e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.64306475620360980e-03,7.63366017952355229e-04,-2.64306475620360980e-03,-7.63366017952355229e-04,-4.09070258187394788e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10901509827929613e-04,-6.07288950143954251e+06,1.46969491928842018e+02,1.02262826091436167e-12,-5.08290568993275196e-03,3.71102552692132744e-10,-2.75556340654226886e-09,-6.84817102795137878e+00,-1.39257083393626489e-06
21,-7.38318365648940400e+00,5.36228947911270826e+00,-1.69644359484124969e+01,1.43613273668958064e+00,2.09815946353244429e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.64038381576951493e-03,7.58108773339762412e-04,-2.64038381576951493e-03,-7.58108773339762412e-04,-4.14626253340420606e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10920765097680129e-04,-6.07279379668238293e+06,1.48513031130743769e+02,1.02270884207144105e-12,-5.08306590622547433e-03,3.74994127815948043e-10,-2.75578053319735194e-09,-6.84838684618256011e+00,-1.40721355629621536e-06
22,-7.37281609443927621e+00,5.37259799491624346e+00,-1.69540806492504501e+01,1.43615994254882029e+00,5.30060909400879009e-15,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.63768124299322386e-03,7.52783872735567007e-04,-2.63768124299322386e-03,-7.52783872735567007e-04,-4.20223567400500775e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10939819344936421e-04,-6.07269909552433994e+06,1.50056578176811684e+02,1.02278858811045436e-12,-5.08322444394583746e-03,3.78885662520884898e-10,-2.75599541605504234e-09,-6.84860044328578699e+00,-1.42179009617490696e-06
23,-7.36244853238914931e+00,5.38290651071977866e+00,-1.69437253500884033e+01,1.43618714840805994e+00,1.48319935902830635e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.63492822596505909e-03,7.47332881828086646e-04,-2.63492822596505909e-03,-7.47332881828086646e-04,-4.25921931436399638e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10958874186482955e-04,-6.07260439584309701e+06,1.51616167838569908e+02,1.02286833837782716e-12,-5.08338299155543499e-03,3.82817581971175847e-10,-2.75621030494456561e-09,-6.84881402040395848e+00,-1.43651762459645531e-06
24,-7.35208097033902153e+00,5.39321502652331386e+00,-1.69333700509263565e+01,1.43621435426729960e+00,4.44963391519354569e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.63212333936370130e-03,7.41750837893912678e-04,-2.63212333936370130e-03,-7.41750837893912678e-04,-4.31724197654730557e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10977929622338379e-04,-6.07250969763863180e+06,1.53191966852444551e+02,1.02294809287382722e-12,-5.08354154905426778e-03,3.86790305263085186e-10,-2.75642519986605825e-09,-6.84902757753811109e+00,-1.45139770553157800e-06
25,-7.34171340828889374e+00,5.40352354232684906e+00,-1.69230147517643097e+01,1.43624156012653925e+00,8.89933807314806437e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.62926509378268430e-03,7.36032471005220032e-04,-2.62926509378268430e-03,-7.36032471005220032e-04,-4.37633346448643851e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10996985652521233e-04,-6.07241500091092288e+06,1.54784143687811024e+02,1.02302785159872233e-12,-5.08370011644234017e-03,3.90804255842085856e-10,-2.75664010081965506e-09,-6.84924111468928665e+00,-1.46643191915074233e-06
26,-7.33134584623876595e+00,5.41383216731671624e+00,-1.69126593721840059e+01,1.43626876622260702e+00,7.09891035135356250e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.62635182635735090e-03,7.30172274720370545e-04,-2.62635182635735090e-03,-7.30172274720370545e-04,-4.43652546694669190e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11016030558546828e-04,-6.07232036388960015e+06,1.56392882641544588e+02,1.02310758539763837e-12,-5.08385854677689385e-03,3.94859900874692614e-10,-2.75685498286557853e-09,-6.84945476694048594e+00,-1.48162207393060805e-06
27,-7.32097828418863905e+00,5.42414079230658341e+00,-1.69023039926037022e+01,1.43629597231867479e+00,7.41706071611719505e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.62338201092717892e-03,7.24164184361936756e-04,-2.62338201092717892e-03,-7.24164184361936756e-04,-4.49785010770859970e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11035076058206073e-04,-6.07222572834317200e+06,1.58018341919205113e+02,1.02318732342140444e-12,-5.08401698699160760e-03,3.98957634130204228e-10,-2.75706987093980447e-09,-6.84966839921874726e+00,-1.49696957540646621e-06
28,-7.31061072213851126e+00,5.43444928336961208e+00,-1.68919487212167141e+01,1.43632317810749410e+00,2.98355305224151893e-17,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.62035404553286489e-03,7.18001768281697605e-04,-2.62035404553286489e-03,-7.18001768281697605e-04,-4.56034086165223358e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11054132634567915e-04,-6.07213104218584113e+06,1.59660676658640199e+02,1.02326709164227724e-12,-5.08417556881525599e-03,4.03097841859332577e-10,-2.75728478675240274e-09,-6.84988188918717977e+00,-1.51247578112698236e-06
29,-7.30024316008838348e+00,5.44475777443264075e+00,-1.68815934498297260e+01,1.43635038389631342e+00,8.90004666334639479e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.61726603421018507e-03,7.11678294282051403e-04,-2.61726603421018507e-03,-7.11678294282051403e-04,-4.62403424516526869e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.11073189805254151e-04,-6.07203635750497971e+06,1.61320080703850806e+02,1.02334686409262892e-12,-5.08433416052716473e-03,4.07281014852377353e-10,-2.75749970859720114e-09,-6.85009535917772094e+00,-1.52814260447802240e-06
