backend,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,tracked_lambda1_real,tracked_lambda1_imag,tracked_lambda2_real,tracked_lambda2_imag,tracked_lambda3_real,tracked_lambda3_imag
python,figure2_T230K,580,230.0,30000.0,1.0,10000000000.0,10000.0,-1.587716470468112,0.2043918139816322,11.12544327595141,-11.17557334373503,67876.37235916601,1.4012323805564163e-05,1.4513418594063676,2.2213247608552886e-17,1.506350599811421e-12,2.2192844862791413e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003292788423467126,0.012483996433494552,0.0003292788423467126,-0.012483996433494552,-0.006898084404582614,0.0,0.0003292788423467126,0.012483996433494552,-0.006898084404582614,0.0,0.0003292788423467126,-0.012483996433494552
python,figure2_T230K,581,230.0,30000.0,1.0,10000000000.0,10000.0,-1.577348908417985,0.20652188151991518,11.135754230651704,-11.165217176027562,68579.86315799062,1.4158191793845456e-05,1.4513690689282304,8.768359342280018e-17,6.0111915445304476e-12,8.765243634928036e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00032993727908966174,0.01254383077265248,0.00032993727908966174,-0.01254383077265248,-0.006904208180925243,0.0,0.00032993727908966174,0.01254383077265248,-0.006904208180925243,0.0,0.00032993727908966174,-0.01254383077265248
python,figure2_T230K,582,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5669813463678572,0.20867414753879923,11.146065189529999,-11.154861006857198,69290.64543302103,1.430557828566297e-05,1.451396278456324,5.3488133852424735e-18,1.1368683772173235e-13,1.644545915862615e-18,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033056009614861623,0.012603978878319506,0.00033056009614861623,-0.012603978878319506,-0.006910308707711539,0.0,0.00033056009614861623,0.012603978878319506,-0.006910308707711539,0.0,0.00033056009614861623,-0.012603978878319506
python,figure2_T230K,583,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5566137843177295,0.21084884337955953,11.156376152585764,-11.144504836224144,70008.79476123698,1.4454499089038439e-05,1.451423487990647,6.00719950712371e-17,4.177991286269391e-12,5.967813863211084e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033114700762632726,0.012664442501868054,0.00033114700762632726,-0.012664442501868054,-0.006916385910438047,0.0,0.00033114700762632726,0.012664442501868054,-0.006916385910438047,0.0,0.00033114700762632726,-0.012664442501868054
python,figure2_T230K,584,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5462462222676026,0.21304620279439243,11.16668711981847,-11.134148664128606,70734.38750301246,1.46049701765615e-05,1.451450697531199,5.328508468269061e-18,3.410605131648653e-13,4.822285882535422e-18,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033169772579021324,0.012725223403584968,0.00033169772579021324,-0.012725223403584968,-0.006922439716083368,0.0,0.00033169772579021324,0.012725223403584968,-0.006922439716083368,0.0,0.00033169772579021324,-0.012725223403584968
python,figure2_T230K,585,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5358786602174748,0.21526646197154134,11.176998091227587,-11.123792490570784,71467.5008102366,1.475700768710301e-05,1.4514779070779789,4.5769477077617935e-17,3.268496584496465e-12,4.57341638696005e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033221196104985396,0.012786323352703157,0.00033221196104985396,-0.012786323352703157,-0.006928470053116624,0.0,0.00033221196104985396,0.012786323352703157,-0.006928470053116624,0.0,0.00033221196104985396,-0.012786323352703157
python,figure2_T230K,586,230.0,30000.0,1.0,10000000000.0,10000.0,-1.525511098167347,0.21750985956068283,11.187309066812583,-11.113436315550887,72208.21263451784,1.491062792754586e-05,1.451505116630986,6.10673039417971e-17,4.405364961712621e-12,6.100920693674748e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033268942193441216,0.012847744127439286,0.00033268942193441216,-0.012847744127439286,-0.006934476851506116,0.0,0.00033268942193441216,0.012847744127439286,-0.006934476851506116,0.0,0.00033268942193441216,-0.012847744127439286
python,figure2_T230K,587,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5151435361172192,0.21977663669857925,11.197620046572931,-11.103080139069117,72956.60173547451,1.5065847374534343e-05,1.4515323261902198,5.849513615044255e-17,4.263256414560604e-12,5.843561993534004e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003331298150694063,0.012909487515028153,0.0003331298150694063,-0.012909487515028153,-0.006940460042727495,0.0,0.0003331298150694063,0.012909487515028153,-0.006940460042727495,0.0,0.0003331298150694063,-0.012909487515028153
python,figure2_T230K,588,230.0,30000.0,1.0,10000000000.0,10000.0,-1.5047759740670923,0.22206703703499744,11.207931030508101,-11.09272396112568,73712.74768911011,1.5222682676241325e-05,1.4515595357556788,5.2117891886774754e-17,3.836930773104543e-12,5.2052526104622794e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.00033353284515308997,0.012971555311756663,0.00033353284515308997,-0.012971555311756663,-0.006946419559771521,0.0,0.00033353284515308997,0.012971555311756663,-0.006946419559771521,0.0,0.00033353284515308997,-0.012971555311756663
python,figure2_T230K,589,230.0,30000.0,1.0,10000000000.0,10000.0,-1.4944084120169645,0.22438130675889884,11.218242018617564,-11.082367781720778,74476.730896276,1.5381150654153975e-05,1.4515867453273628,3.520435385125871e-17,2.6147972675971776e-12,3.510923350637242e-17,True,7,The solution converged.,complex_pair,unstable,physical_ode_state,analytic_sympy_transcribed_physical_ode_jacobian,python_analytic,0.0003338982149326534,0.013033949323003542,0.0003338982149326534,-0.013033949323003542,-0.006952355337152127,0.0,0.0003338982149326534,0.013033949323003542,-0.006952355337152127,0.0,0.0003338982149326534,-0.013033949323003542
