curve_id,panel,color_name,pixel_x,pixel_y_median,pixel_y_min,pixel_y_max,pixels_in_column,temperature_K,w_m_s,log_w_ln_m_s,period_s,source_type,direct_digitization,validity
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,146,618.5,618,619,2,210.0,0.0032225518977262078,-5.737581718478066,5914.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,147,619.5,619,620,2,210.0,0.0032966176363971884,-5.714858294806552,5857.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,148,620.5,620,621,2,210.0,0.003372385669963322,-5.692134871135041,5800.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,149,621.5,621,622,2,210.0,0.003449895123234037,-5.669411447463528,5742.857142857142,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,150,622.5,622,623,2,210.0,0.0035291860202464388,-5.646688023792016,5685.714285714285,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,151,623.5,623,624,2,210.0,0.0036102993049327995,-5.6239646001205035,5628.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,152,624.5,624,625,2,210.0,0.003693276862263016,-5.6012411764489904,5571.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,153,625.5,625,626,2,210.0,0.003778161539873002,-5.578517752777478,5514.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,154,626.5,626,627,2,210.0,0.0038649971701902102,-5.555794329105967,5457.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,155,627.0,627,627,1,210.0,0.003953828593067641,-5.533070905434454,5428.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,156,628.0,628,628,1,210.0,0.004044701678938074,-5.510347481762941,5371.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,157,628.5,628,629,2,210.0,0.004137663352500465,-5.487624058091429,5342.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,158,629.5,629,630,2,210.0,0.004232761616950764,-5.464900634419917,5285.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,159,630.5,630,631,2,210.0,0.004330045578769605,-5.442177210748404,5228.571428571429,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,160,631.5,631,632,2,210.0,0.0044295654730797185,-5.4194537870768915,5171.428571428571,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,161,632.5,632,633,2,210.0,0.00453137268958618,-5.3967303634053785,5114.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,162,633.5,633,634,2,210.0,0.0046355197991127944,-5.374006939733867,5057.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,163,634.5,634,635,2,210.0,0.004742060580748459,-5.351283516062354,5000.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,164,635.0,635,635,1,210.0,0.004851050049617362,-5.328560092390842,4971.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,165,635.5,635,636,2,210.0,0.004962544485287523,-5.30583666871933,4942.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,166,636.5,636,637,2,210.0,0.005076601460832203,-5.283113245047817,4885.714285714285,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,167,637.5,637,638,2,210.0,0.005193279872559263,-5.260389821376304,4828.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,168,638.5,638,639,2,210.0,0.005312639970423815,-5.2376663977047935,4771.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,169,639.5,639,640,2,210.0,0.005434743389139912,-5.21494297403328,4714.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,170,639.5,639,640,2,210.0,0.005559653180007173,-5.192219550361767,4714.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,171,640.5,640,641,2,210.0,0.005687433843469016,-5.169496126690255,4657.142857142858,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,172,641.5,641,642,2,210.0,0.0058181513624191595,-5.146772703018743,4600.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,173,642.5,642,643,2,210.0,0.005951873236273604,-5.12404927934723,4542.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,174,643.0,643,643,1,210.0,0.006088668515825709,-5.101325855675718,4514.285714285715,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,175,643.5,643,644,2,210.0,0.006228607838902419,-5.078602432004205,4485.714285714285,direct_digitized_curve_pixel,True,valid_curve_pixel
