panel,pixel_x,temperature_K,upper_boundary_pixel_y,upper_boundary_w_m_s,upper_boundary_log_w_ln_m_s,lower_boundary_pixel_y,lower_boundary_w_m_s,lower_boundary_log_w_ln_m_s,direct_digitization,validity,edge_detector,vertical_color_run_pixels
upper_period_map,150,202.22826086956522,121,0.12497474423509196,-2.0796436082131673,238,0.007259803071593388,-4.925402575638203,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,151,202.3641304347826,122,0.12197168706369137,-2.103966334430475,238,0.007259803071593388,-4.925402575638203,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,152,202.5,122,0.12197168706369137,-2.103966334430475,237,0.007438546222581543,-4.901079849420894,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,153,202.6358695652174,121,0.12497474423509196,-2.0796436082131673,237,0.007438546222581543,-4.901079849420894,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,154,202.77173913043478,121,0.12497474423509196,-2.0796436082131673,236,0.007621690197353759,-4.8767571232035865,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,155,202.9076086956522,120,0.12805173948664708,-2.055320881995859,236,0.007621690197353759,-4.8767571232035865,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,156,203.04347826086956,120,0.12805173948664708,-2.055320881995859,236,0.007621690197353759,-4.8767571232035865,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,157,203.17934782608697,118,0.13443487074991256,-2.006675429561243,235,0.007809343348313332,-4.852434396986279,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,158,203.31521739130434,119,0.13120449324313888,-2.0309981557785513,235,0.007809343348313332,-4.852434396986279,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,159,203.45108695652175,119,0.13120449324313888,-2.0309981557785513,234,0.008001616695601179,-4.828111670768971,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,160,203.58695652173913,118,0.13443487074991256,-2.006675429561243,234,0.008001616695601179,-4.828111670768971,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
