comparison,reference,variable,T_K,log_w,w_m_s,loca_value,reference_value,signed_diff,abs_diff,rel_diff,loca_residual_norm,reference_residual_norm,reference_converged
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.920280520713201,0.0198355296869153,1.36339011193367e-06,1.3633901128886124e-06,-9.549424036356564e-16,9.549424036356564e-16,7.004175801249003e-10,4.900123098495824e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.860365875242121,0.0210602926735736,1.447475801272629e-06,1.4474758027922824e-06,-1.5196533403394677e-15,1.5196533403394677e-15,1.049864417358791e-09,2.5152960672917528e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.800451229771041,0.0223606797749978,1.5367474668569928e-06,1.5367474668569848e-06,8.046812998915853e-21,8.046812998915853e-21,5.236262412960708e-15,2.884252135351471e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.740536584299961,0.0237413604715664,1.6315249579474796e-06,1.6315249596574873e-06,-1.710007689850637e-15,1.710007689850637e-15,1.0481039102274145e-09,7.661160396596242e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.680621938828881,0.0252072925650091,1.7321478510518456e-06,1.7321478522612816e-06,-1.2094359937370527e-15,1.2094359937370527e-15,6.982290756289425e-10,6.775864181050913e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.6207072933578015,0.0267637399810746,1.8389766666538408e-06,1.8389766679366427e-06,-1.2828019642217208e-15,1.2828019642217208e-15,6.975629362720748e-10,5.4155383476259757e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.5607926478867213,0.0284162916714381,1.9523941609880785e-06,1.952394163029483e-06,-2.0414044600244353e-15,2.0414044600244353e-15,1.0455903314404696e-09,2.5310239589921248e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.500878002415642,0.0301708816827258,2.0728066974896536e-06,2.0728066974896426e-06,1.1011428314305904e-20,1.1011428314305904e-20,5.312327641377118e-15,8.706361942326088e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.440963356944562,0.0320338104647196,2.200645702832816e-06,2.200645705129935e-06,-2.2971190481192987e-15,2.2971190481192987e-15,1.0438386527938023e-09,1.2983145335439073e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,-3.381048711473482,0.0340117674942562,2.336369212776023e-06,2.3363692144007035e-06,-1.6246803436013174e-15,1.6246803436013174e-15,6.953868136882039e-10,8.603353552820168e-18,,True
