panel,value_name,value_unit,T_K,curve_color,w_m_s,value,x_px_page,y_px_page,x_px_panel,y_px_panel,candidate_pixels_in_column_window,source_pdf,source_page,source_render_dpi,source_image,digitization_method,point_index
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.013937363384713394,27114.298980653104,789,4934.0,193,634.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,28
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.014388693714246125,28144.446531124922,795,4930.0,199,630.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,29
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.014933750920193119,29213.73224911862,802,4926.0,206,626.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,30
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.015417347030728848,30042.273359919516,808,4923.0,212,623.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,31
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.01591660331929856,31038.65073504035,814,4919.5,218,619.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,32
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.016432026905729546,32068.073807527726,820,4916.0,224,616.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,33
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.01696414133179006,33286.42902684376,826,4912.0,230,612.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,34
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.0176067589077303,34230.47734786335,833,4909.0,237,609.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,35
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.018176914401311323,35530.98828552556,839,4905.0,243,605.0,53,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,36
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.018765533104876882,36538.69535461568,845,4902.0,249,602.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,37
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.019373212908172455,37750.532053243915,851,4898.5,255,598.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,38
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.020107088373704802,39002.56033971867,858,4895.0,262,595.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,39
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.020758211442764,40108.72590570611,864,4892.0,268,592.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,40
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.021430419675581448,41632.56783773579,870,4888.0,274,588.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,41
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.022124395868009177,43214.30475848366,876,4884.0,280,584.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,42
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.022962488723036214,44856.13625942202,883,4880.0,287,580.0,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,43
