branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,python,auto,45,235.0,-2.7415070925785323,-2.741507646806884,0.06447310669596767,0.06447307096315393,5.542283516568602e-07,3.573281374957826e-08,5.542285052622886e-07
lower_hopf,python,auto,46,236.0,-2.687375886975432,-2.687376452495963,0.06805930054647849,0.06805926205755759,5.655205308485733e-07,3.848892089763911e-08,5.655206908515861e-07
lower_hopf,python,auto,47,237.0,-2.6341871661715146,-2.634187687623919,0.0717772887118105,0.07177725128338047,5.214524043672952e-07,3.7428430021968495e-08,5.214525403626705e-07
lower_hopf,python,auto,48,238.0,-2.5819630858363745,-2.5819635084037045,0.07562539905865638,0.07562536710184017,4.225673300162214e-07,3.195681620715707e-08,4.225674192645271e-07
lower_hopf,python,auto,49,239.0,-2.5307260082531613,-2.530726273876952,0.07960120816830832,0.07960118702433648,2.6562379051853213e-07,2.1143971837278563e-08,2.656238258207659e-07
lower_hopf,python,auto,50,240.0,-2.4804982713013985,-2.4804983214,0.08370150914011534,0.08370150494678692,5.009860126747867e-08,4.19332842060971e-09,5.00986024477769e-08
lower_hopf,python,loca,0,190.0,-5.976855534251504,-5.97682099160565,0.0025367906150969228,0.0025368782440702052,-3.454264585389666e-05,-8.762897328248864e-08,-3.454204926362387e-05
lower_hopf,python,loca,1,191.0,-5.888114612909845,-5.888081852200697,0.002772198440014682,0.002772289260689143,-3.276070914814966e-05,-9.082067446101322e-08,-3.276017252198163e-05
lower_hopf,python,loca,2,192.0,-5.800233648986881,-5.800202648069234,0.003026847442910302,0.003026941279413109,-3.1000917646295534e-05,-9.383650280718123e-08,-3.100043712290815e-05
lower_hopf,python,loca,3,193.0,-5.713202178173351,-5.713172913582953,0.0033020817430482103,0.0033021783785318706,-2.9264590397204415e-05,-9.663548366026231e-08,-2.9264162193208316e-05
lower_hopf,python,loca,4,194.0,-5.627009862888652,-5.6269823094988025,0.0035993217181792283,0.0035994208930600195,-2.7553389849721555e-05,-9.917488079120435e-08,-2.7553010258517335e-05
lower_hopf,python,loca,5,195.0,-5.541646529007504,-5.541620660406213,0.003920067017568138,0.003920168425530483,-2.5868601290390814e-05,-1.0140796234507643e-07,-2.586826670115679e-05
lower_hopf,python,loca,6,196.0,-5.457102199510431,-5.457077987908252,0.004265899577078597,0.004266002862592442,-2.4211602179136094e-05,-1.0328551384563428e-07,-2.4211309080760405e-05
lower_hopf,python,loca,7,197.0,-5.37336712409294,-5.373344540592315,0.004638486626194068,0.004638591380642547,-2.258350062511738e-05,-1.04754448479287e-07,-2.2583245619875273e-05
lower_hopf,python,loca,8,198.0,-5.290431806518237,-5.290410821680247,0.005039583664715226,0.005039689420671598,-2.0984837989956873e-05,-1.0575595637239699e-07,-2.0984617809702994e-05
lower_hopf,python,loca,9,199.0,-5.208287030776894,-5.208267614880746,0.005471037384146689,0.005471143610271599,-1.941589614862238e-05,-1.0622612491018035e-07,-1.941570766132879e-05
lower_hopf,python,loca,10,200.0,-5.12692388590156,-5.126906009282269,0.005934788510155685,0.005934894605058758,-1.7876619290646545e-05,-1.0609490307296465e-07,-1.7876459504863318e-05
lower_hopf,python,loca,11,201.0,-5.046333790309539,-5.046317423557812,0.006432874533559481,0.006432979819681457,-1.6366751727225903e-05,-1.052861219761822e-07,-1.6366617792591748e-05
lower_hopf,python,loca,12,202.0,-4.9665085159333735,-4.96649363006621,0.006967432294865608,0.006967536011909178,-1.4885867163805244e-05,-1.037170435707821e-07,-1.4885756369756104e-05
