backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
loca,upper_hopf,13,203.0,-2.037253524687347,0.13038632238358244,-2.0339241900000005,0.13082114552368268,-0.003329334687346641,-0.0004348231401002378,-0.0033237985981518663,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,14,204.0,-1.9590693829454109,0.14098956718384612,-1.9555765599999972,0.1414828798044634,-0.003492822945413643,-0.0004933126206172755,-0.0034867301351164106,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,15,205.0,-1.88186444624174,0.15230587475672477,-1.8782127499999959,0.15286306627508262,-0.003651696241744107,-0.0005571915183578413,-0.0036450369074446996,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,16,206.0,-1.805630936559448,0.1643707163595944,-1.8018327600000035,0.1649962124819275,-0.003798176559444588,-0.0006254961223330913,-0.003790972610365851,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,17,207.0,-1.7303618955732711,0.1772202631346277,-1.7264365899999987,0.177917273916397,-0.00392530557327242,-0.0006970107817693139,-0.003917611631666737,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,18,208.0,-1.6560511855044031,0.19089128804701383,-1.6520242399999958,0.19166154671519123,-0.004026945504407298,-0.0007702586681773982,-0.004018848232097393,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,19,209.0,-1.5826934959260217,0.2054210516130892,-1.5785957099999948,0.20626455016522202,-0.004097785926026942,-0.0008434985521328098,-0.004089401457774255,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,20,210.0,-1.5102843560763108,0.22084716979519253,-1.5061509999999956,0.2217618989347088,-0.004133356076315264,-0.0009147291395162627,-0.004124825517414862,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,21,211.0,-1.4388201521574613,0.23720746235848336,-1.4346901099999982,0.23818916501934803,-0.004130042157463043,-0.0009817026608646695,-0.004121525262431337,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,22,212.0,-1.368298149239373,0.25453977986852294,-1.3642130400000028,0.2555817294649985,-0.0040851092393703325,-0.0010419495964755776,-0.004076776531157603,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,23,213.0,-1.2987165173953483,0.2728818074202253,-1.294719790000002,0.27397462400592126,-0.003996727395346289,-0.0010928165856959882,-0.0039887511102939584,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,24,214.0,-1.230074361647994,0.2922708431312051,-1.226210359999996,0.2934023628398887,-0.00386400164799805,-0.0011315197086835815,-0.0038565459996007536,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
