backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
auto,upper_hopf,18,208.0,-1.6560630726541046,0.19088901890718293,-1.6520242399999958,0.19166154671519123,-0.004038832654108759,-0.0007725278080082942,-0.004030687538780376,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,19,209.0,-1.5827060619744995,0.20541847029841478,-1.5785957099999948,0.20626455016522202,-0.004110351974504711,-0.0008460798668072367,-0.004101916040005467,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,20,210.0,-1.5102974731714187,0.22084427294086123,-1.5061509999999956,0.2217618989347088,-0.004146473171423137,-0.000917625993847565,-0.004137888421120225,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,21,211.0,-1.4388337074095865,0.23720424697331785,-1.4346901099999982,0.23818916501934803,-0.004143597409588251,-0.000984918046030181,-0.0041350245547490646,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,22,212.0,-1.368312039840761,0.25453624418245985,-1.3642130400000028,0.2555817294649985,-0.004098999840758344,-0.0010454852825386718,-0.00409061040758725,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,23,213.0,-1.2987306545046413,0.2728779496875584,-1.294719790000002,0.27397462400592126,-0.004010864504639278,-0.0010966743183628558,-0.0040028317306465356,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,24,214.0,-1.2300886652702392,0.2922666626293699,-1.226210359999996,0.2934023628398887,-0.003878305270243132,-0.0011357002105187863,-0.003870794357367,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,25,215.0,-1.1623861591768243,0.3127390447027115,-1.158684749999999,0.31389876484806495,-0.0037014091768252655,-0.0011597201453534267,-0.003694567405879284,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,26,216.0,-1.0956242215159349,0.3343308452915556,-1.0921429599999968,0.33549676665795103,-0.0034812615159380833,-0.0011659213663954282,-0.0034752089506249095,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,27,217.0,-1.0298049860828202,0.35707658868399345,-1.0265849899999964,0.35822822704127233,-0.0032199960828238616,-0.0011516383572788835,-0.003214817455315157,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,28,218.0,-0.9649316693032073,0.3810092334762833,-0.9620108399999978,0.3821237232350551,-0.002920829303209471,-0.0011144897587718194,-0.002916567831320604,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,29,219.0,-0.9010086162112838,0.40615979372426947,-0.8984205100000011,0.40721233987227035,-0.0025881062112826925,-0.0010525461480008769,-0.002584759951849758,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,30,220.0,-0.8380413445525642,0.43255692423069037,-0.8358139999999991,0.4335214513078588,-0.0022273445525651248,-0.0009645270771684311,-0.002224865861328478,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,31,221.0,-0.7760365881311788,0.46022646835864195,-0.7741913099999991,0.4610764982256569,-0.0018452781311797395,-0.0008500298670149342,-0.001843576652217304,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,32,222.0,-0.7150023356906076,0.4891909691962451,-0.7135524399999937,0.48990075951098594,-0.0014498956906138227,-0.0007097903147408324,-0.0014488450996674063,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,33,223.0,-0.6549478855441977,0.5194691337328536,-0.6538973900000045,0.520015120471294,-0.0010504955441932307,-0.0005459867384403072,-0.0010499439669090294,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,34,224.0,-0.5958838694800254,0.5510752719333768,-0.5952261599999957,0.5514378385826285,-0.0006577094800296335,-0.00036256664925171656,-0.000657493236560677,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,35,225.0,-0.5378223008843019,0.5840186855363739,-0.537538750000003,0.5841843080311976,-0.00028355088429898867,-0.00016562249482365843,-0.00028351068754625566,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,36,226.0,-0.48077659941684214,0.6183030315328091,-0.48083516000000504,0.6182668244068766,5.8560583162892144e-05,3.6207125932441464e-05,5.8562297867391044e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,37,227.0,-0.42475814674872864,0.6539279205999818,-0.4251153899999948,0.6536943509866011,0.0003572432512661816,0.00023356961338072413,0.0003573070702358137,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
auto,upper_hopf,38,228.0,-0.36978818617622927,0.6908806532131617,-0.3703794400000007,0.6904722881207873,0.0005912538237714537,0.00040836509237440755,0.0005914286487671037,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
