comparison,reference,variable,T_K,log_w,w_m_s,auto_value,reference_value,signed_diff,abs_diff,rel_diff,auto_residual_norm,reference_residual_norm,reference_converged
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.2743313357,0.0139213543200707,27183.81553240189,27183.815535769172,-3.3672804420348257e-06,3.3672804420348257e-06,1.2387078030323117e-10,1.775961791196582e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.2454054066,0.0143299230558742,27977.3559528353,27977.35599966779,-4.683249062509276e-05,4.683249062509276e-05,1.6739426922847484e-09,1.1183986271132865e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.2164794921,0.0147504823933086,28794.06164553508,28794.061730935675,-8.54005957080517e-05,8.54005957080517e-05,2.965910002766274e-09,8.053851600782967e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.1875535921,0.0151833842255875,29634.608902908545,29634.60899441298,-9.150443656835705e-05,9.150443656835705e-05,3.08775582581867e-09,1.0269398522052865e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.1586277067,0.0156289907698604,30499.69370237517,30499.693791693422,-8.93182514118962e-05,8.93182514118962e-05,2.9284966603901443e-09,1.6643669283654753e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.1297018359,0.0160876748746477,31390.03239964471,31390.03244599652,-4.635180812329054e-05,4.635180812329054e-05,1.4766409752214907e-09,8.796381679547428e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.1007759796,0.016559820332013,32306.362169292588,32306.362195789432,-2.649684392963536e-05,2.649684392963536e-05,8.201741740234918e-10,5.843917895648487e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.0718501379,0.017045822193795,33249.441867391426,33249.441900326834,-3.293540794402361e-05,3.293540794402361e-05,9.905552112049094e-10,1.0166307691059059e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.0429243106,0.0175460871104203,34220.05230715157,34220.052401815505,-9.466393385082483e-05,9.466393385082483e-05,2.7663293071346248e-09,1.3916651606451722e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-4.0139984979,0.0180610336592444,35218.99726388659,35218.99737662674,-0.00011274015560047701,0.00011274015560047701,3.201117692103795e-09,6.144610745266254e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.9850726998,0.0185910927048857,36247.10387544409,36247.103994459896,-0.00011901580728590488,0.00011901580728590488,3.283456998498296e-09,4.4806958308066044e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.9561469162,0.0191367077583144,37305.223498445564,37305.22357683744,-7.83918731031008e-05,7.83918731031008e-05,2.101364516463421e-09,4.438630402978245e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.927221147,0.0196983353462281,38394.23227029223,38394.232298813964,-2.8521732019726187e-05,2.8521732019726187e-05,7.428650167490717e-10,1.0274691306768397e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.8982953924,0.0202764453869406,39515.03194239485,39515.03198050519,-3.8110338209662586e-05,3.8110338209662586e-05,9.64451660534259e-10,1.5292340823939842e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.8693696523,0.0208715215951922,40668.55063238171,40668.55070509639,-7.271468348335475e-05,7.271468348335475e-05,1.787983152156993e-09,2.892845006321206e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.8404439267,0.0214840618791421,41855.7434311714,41855.743569247184,-0.00013807578216074035,0.00013807578216074035,3.298849103762888e-09,1.799060243626077e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.8115182156,0.0221145787588596,43077.59352061074,43077.59362768514,-0.00010707440378610045,0.00010707440378610045,2.4856171101740877e-09,6.751300670063456e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.7825925189,0.0227635997974023,44335.1125306144,44335.112638630075,-0.00010801567259477451,0.00010801567259477451,2.4363459607105696e-09,1.8753070813697297e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.7536668368,0.0234316680331634,45629.34184121091,45629.34188413297,-4.292205994715914e-05,4.292205994715914e-05,9.406679600190496e-10,5.132637486128205e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.7247411691,0.0241193424500815,46961.35310136077,46961.35310052374,8.370334398932755e-07,8.370334398932755e-07,1.782387824487581e-11,4.370338699587361e-13,,True
