backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode
45,-2.60215832034944450e+00,1.08615414260470828e+01,-1.32948366624867003e+01,1.51925910106842954e+00,6.18457426947180662e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
46,-2.54224367487836478e+00,1.09211458193911319e+01,-1.32349760534975243e+01,1.51943652131080165e+00,1.51333552743064567e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
47,-2.48232902940728506e+00,1.09807503445496142e+01,-1.31751153998769492e+01,1.51961394177190190e+00,1.89418067285750229e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
48,-2.42241438393620534e+00,1.10403550014269207e+01,-1.31152547016614065e+01,1.51979136245156354e+00,1.05627306589320251e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
49,-2.36249973846512518e+00,1.10999597899275493e+01,-1.30553939588872847e+01,1.51996878334962049e+00,4.99815235468185437e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
50,-2.30258509299404546e+00,1.11595647099560864e+01,-1.29955331715909335e+01,1.52014620446590598e+00,1.78058291858442965e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
51,-2.24267044752296574e+00,1.12191697614172234e+01,-1.29356723398086633e+01,1.52032362580025437e+00,1.66505273879853327e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
52,-2.18275580205188602e+00,1.12787749442157512e+01,-1.28758114635767491e+01,1.52050104735249914e+00,4.20336234205091316e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
53,-2.12284115658080585e+00,1.13383802582565600e+01,-1.28159505429314216e+01,1.52067846912247484e+00,1.09988112720683113e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
54,-2.06292651110972614e+00,1.13979857034446326e+01,-1.27560895779088774e+01,1.52085589111001562e+00,4.04977131808739785e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
55,-2.00301186563864642e+00,1.14575912796850563e+01,-1.26962285685452709e+01,1.52103331331495628e+00,4.02982550439703191e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
56,-1.94309722016756670e+00,1.15171969868830164e+01,-1.26363675148767189e+01,1.52121073573713139e+00,6.77182906377852688e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
57,-1.88318257469648698e+00,1.15768028249437922e+01,-1.25765064169393010e+01,1.52138815837637575e+00,1.46530882402876426e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
58,-1.82326792922540681e+00,1.16364087937727678e+01,-1.25166452747690524e+01,1.52156558123252483e+00,1.24387001605799434e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
59,-1.76335328375432709e+00,1.16960148932754162e+01,-1.24567840884019780e+01,1.52174300430541343e+00,7.67232856713597609e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
60,-1.70343863828324737e+00,1.17556211233573169e+01,-1.23969228578740402e+01,1.52192042759487722e+00,1.79295775262776608e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
61,-1.64352399281216766e+00,1.18152274839241436e+01,-1.23370615832211588e+01,1.52209785110075169e+00,1.95439158836887993e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
62,-1.58360934734108749e+00,1.18748339748816658e+01,-1.22772002644792213e+01,1.52227527482287250e+00,2.37463018213900592e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
63,-1.52369470187000777e+00,1.19344405961357527e+01,-1.22173389016840765e+01,1.52245269876107581e+00,6.56716480899082500e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
64,-1.46378005639892805e+00,1.19940473475923728e+01,-1.21574774948715287e+01,1.52263012291519773e+00,6.30666251394052220e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
65,-1.40386541092784833e+00,1.20536542291575852e+01,-1.20976160440773501e+01,1.52280754728507439e+00,7.98103715594067692e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
66,-1.34395076545676861e+00,1.21132612407375522e+01,-1.20377545493372722e+01,1.52298497187054216e+00,1.98063965861187361e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
67,-1.28403611998568845e+00,1.21728683822385335e+01,-1.19778930106869872e+01,1.52316239667143805e+00,4.02902803676231111e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
68,-1.22412147451460918e+00,1.22324756535668779e+01,-1.19180314281621538e+01,1.52333982168759863e+00,2.02695483822979132e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
69,-1.16420682904352901e+00,1.22920830546290389e+01,-1.18581698017983861e+01,1.52351724691886070e+00,1.46860542176709243e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
70,-1.10429218357244885e+00,1.23516905853315642e+01,-1.17983081316312646e+01,1.52369467236506151e+00,3.46347588902727591e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
71,-1.04437753810136957e+00,1.24112982455810936e+01,-1.17384464176963306e+01,1.52387209802603851e+00,6.10704785262405620e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
72,-9.84462892630289410e-01,1.24709060352843721e+01,-1.16785846600290881e+01,1.52404952390162896e+00,1.40977477625853031e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
73,-9.24548247159210135e-01,1.25305139543482316e+01,-1.16187228586650022e+01,1.52422694999167074e+00,7.34023403563793541e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
74,-8.64633601688129971e-01,1.25901220026796050e+01,-1.15588610136394969e+01,1.52440437629600156e+00,4.35680829449384971e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
75,-8.04718956217049808e-01,1.26497301801855215e+01,-1.14989991249879662e+01,1.52458180281445932e+00,1.13678862769663876e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
76,-7.44804310745970533e-01,1.27093384867731007e+01,-1.14391371927457630e+01,1.52475922954688237e+00,4.63346339938145651e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
77,-6.84889665274890369e-01,1.27689469223495671e+01,-1.13792752169481979e+01,1.52493665649310883e+00,6.00092881054259812e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
78,-6.24975019803810206e-01,1.28285554868222302e+01,-1.13194131976305474e+01,1.52511408365297729e+00,1.10271970407491009e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
79,-5.65060374332730930e-01,1.28881641800985030e+01,-1.12595511348280546e+01,1.52529151102632654e+00,9.35692005895331585e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
80,-5.05145728861650767e-01,1.29477730020858903e+01,-1.11996890285759179e+01,1.52546893861299515e+00,6.37676536040178497e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
81,-4.45231083390571492e-01,1.30073819526919898e+01,-1.11398268789093020e+01,1.52564636641282236e+00,1.17111828240852788e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
82,-3.85316437919491328e-01,1.30669910318244984e+01,-1.10799646858633345e+01,1.52582379442564720e+00,1.26611857885448583e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
83,-3.25401792448411165e-01,1.31266002393912089e+01,-1.10201024494731019e+01,1.52600122265130889e+00,1.76744717459669229e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
84,-2.65487146977331889e-01,1.31862095752999995e+01,-1.09602401697736607e+01,1.52617865108964734e+00,1.05732421135277381e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
85,-2.05572501506251726e-01,1.32458190394588549e+01,-1.09003778468000210e+01,1.52635607974050180e+00,8.79978602656169150e-18,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
86,-1.45657856035172451e-01,1.33054286317758468e+01,-1.08405154805871629e+01,1.52653350860371240e+00,1.04729231659282959e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
87,-8.57432105640922870e-02,1.33650383521591429e+01,-1.07806530711700255e+01,1.52671093767911903e+00,2.00549930215232890e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
88,-2.58285650930121236e-02,1.34246482005170069e+01,-1.07207906185835107e+01,1.52688836696656161e+00,2.05028715185302130e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
89,3.40860803780671517e-02,1.34842581767577947e+01,-1.06609281228624884e+01,1.52706579646588092e+00,1.90555278718302160e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
90,9.40007258491473152e-02,1.35438682807899546e+01,-1.06010655840417840e+01,1.52724322617691732e+00,1.00110655737391750e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
91,1.53915371320226591e-01,1.36034785125220328e+01,-1.05412030021561893e+01,1.52742065609951139e+00,1.14722561876995394e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
92,2.13830016791306754e-01,1.36630888718626675e+01,-1.04813403772404623e+01,1.52759808623350413e+00,2.21610001832748348e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
93,2.73744662262386917e-01,1.37226993587205879e+01,-1.04214777093293183e+01,1.52777551657873611e+00,1.84268342303415911e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
94,3.33659307733466193e-01,1.37823099730046206e+01,-1.03616149984574406e+01,1.52795294713504903e+00,1.67505175142597736e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
95,3.93573953204546356e-01,1.38419207146236829e+01,-1.03017522446594718e+01,1.52813037790228412e+00,2.25246038981179291e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
96,4.53488598675625632e-01,1.39015315834867845e+01,-1.02418894479700224e+01,1.52830780888028261e+00,2.20552525358902739e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
97,5.13403244146705795e-01,1.39611425795030346e+01,-1.01820266084236621e+01,1.52848524006888620e+00,1.72691909833472483e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
98,5.73317889617785958e-01,1.40207537025816258e+01,-1.01221637260549233e+01,1.52866267146793700e+00,1.78288657713253679e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
99,6.33232535088865234e-01,1.40803649526318484e+01,-1.00623008008983081e+01,1.52884010307727669e+00,2.27817617108957410e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
100,6.93147180559945397e-01,1.41399763295630887e+01,-1.00024378329882744e+01,1.52901753489674785e+00,2.90202472260345793e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
