T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
210.0,30000.0,1.0,-3.1513759038343427,0.04279320700470149,10.297165577700094,-13.846668855617812,29648.46337740009,9.693221195136351e-07,1.5280166842257383,True,7,The solution converged.,4.769152923669201e-17
210.0,30000.0,1.0,-3.126411468221393,0.04387496178378224,10.322003390292231,-13.821726040327055,30394.087863062094,9.938037937901797e-07,1.5280906137180232,True,7,The solution converged.,4.044555449619291e-17
210.0,30000.0,1.0,-3.101447032608443,0.04498406187030712,10.346841224978885,-13.796783217588516,31158.464628647307,1.0189037968132678e-06,1.5281645432469053,True,7,The solution converged.,1.1632399681409005e-17
210.0,30000.0,1.0,-3.076482596995493,0.04612119851690905,10.371679081753479,-13.771840387404694,31942.065306674776,1.0446377457773212e-06,1.5282384728123728,True,7,The solution converged.,2.0526410233480654e-17
210.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,10.396516960609434,-13.746897549778092,32745.37339196501,1.0710216523265996e-06,1.5283124024144144,True,7,The solution converged.,4.122882584610564e-17
210.0,30000.0,1.0,-3.026553725769593,0.048482434312282656,10.421354861540179,-13.721954704711209,33568.88454000651,1.0980719325180976e-06,1.5283863320530189,True,7,The solution converged.,9.275529534396209e-18
210.0,30000.0,1.0,-3.001589290156643,0.04970800511404608,10.446192784539143,-13.697011852206547,34413.10687282655,1.1258054170360808e-06,1.5284602617281744,True,7,The solution converged.,2.5608991104093888e-17
210.0,30000.0,1.0,-2.9766248545436933,0.050964556699085777,10.47103072959976,-13.672068992266599,35278.56129255605,1.1542393616646403e-06,1.5285341914398698,True,7,The solution converged.,2.901183029414917e-17
210.0,30000.0,1.0,-2.9516604189307434,0.05225287221997933,10.495868696715462,-13.647126124893866,36165.78180288146,1.1833914580247254e-06,1.5286081211880935,True,7,The solution converged.,3.851142847338306e-17
210.0,30000.0,1.0,-2.9266959833177935,0.0535737546263493,10.52070668587969,-13.62218325009084,37075.315838582406,1.2132798445824157e-06,1.5286820509728343,True,7,The solution converged.,3.499085797409278e-17
210.0,30000.0,1.0,-2.9017315477048435,0.054928027165305905,10.545544697085884,-13.597240367860019,38007.72460335829,1.2439231179352027e-06,1.5287559807940805,True,7,The solution converged.,4.0949957939368296e-17
210.0,30000.0,1.0,-2.8767671120918936,0.05631653389454026,10.570382730327488,-13.572297478203893,38963.58341615227,1.2753403443833723e-06,1.5288299106518208,True,7,The solution converged.,3.8586050827040656e-17
210.0,30000.0,1.0,-2.8518026764789437,0.0577401402083879,10.595220785597947,-13.547354581124956,39943.48206618662,1.3075510717936301e-06,1.528903840546044,True,7,The solution converged.,9.904682410807478e-18
210.0,30000.0,1.0,-2.826838240865994,0.05919973337719046,10.620058862890712,-13.5224116766257,40948.02517692856,1.3405753417624007e-06,1.5289777704767382,True,7,The solution converged.,2.3257092042972908e-17
210.0,30000.0,1.0,-2.801873805253044,0.06069622310029174,10.644896962199235,-13.497468764708612,41977.832579210895,1.3744337020863338e-06,1.5290517004438924,True,7,The solution converged.,2.1751832462641682e-17
210.0,30000.0,1.0,-2.776909369640094,0.06223054207301277,10.66973508351697,-13.472525845376184,43033.53969373802,1.4091472195478004e-06,1.529125630447495,True,7,The solution converged.,3.179350742989909e-17
210.0,30000.0,1.0,-2.751944934027144,0.06380364656795916,10.694573226837377,-13.447582918630902,44115.79792321349,1.4447374930233204e-06,1.5291995604875346,True,7,The solution converged.,4.123620983665739e-17
210.0,30000.0,1.0,-2.726980498414194,0.0654165170310232,10.719411392153914,-13.422639984475254,45225.275054330574,1.4812266669230813e-06,1.529273490564,True,7,The solution converged.,3.598114697550247e-17
210.0,30000.0,1.0,-2.702016062801244,0.06707015869245214,10.744249579460044,-13.397697042911725,46362.655669875,1.518637444969926e-06,1.5293474206768796,True,7,The solution converged.,4.7127680655730834e-17
210.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,10.769087788749234,-13.372754093942799,47528.64157119284,1.5569931043263587e-06,1.5294213508261623,True,7,The solution converged.,2.2174006485360137e-17
210.0,30000.0,1.0,-2.6520871915753443,0.07050390422809653,10.793926020014952,-13.347811137570961,48723.95221128562,1.5963175100783733e-06,1.5294952810118363,True,7,The solution converged.,3.5133636817364376e-17
210.0,30000.0,1.0,-2.6271227559623944,0.07228614820280532,10.818764273250672,-13.322868173798692,49949.325138798886,1.6366351300851254e-06,1.5295692112338906,True,7,The solution converged.,3.4860329609022617e-17
210.0,30000.0,1.0,-2.6021583203494445,0.0741134449106948,10.843602548449866,-13.297925202628475,51205.516453178934,1.6779710502036685e-06,1.5296431414923137,True,7,The solution converged.,1.3688243126237249e-17
210.0,30000.0,1.0,-2.5771938847364946,0.07598693322433003,10.86844084560601,-13.272982224062789,52493.30127127841,1.7203509898982444e-06,1.5297170717870943,True,7,The solution converged.,6.4368304317840845e-18
210.0,30000.0,1.0,-2.5522294491235447,0.07790778080544443,10.893279164712586,-13.248039238104111,53813.47420569903,1.7638013182438346e-06,1.5297910021182208,True,7,The solution converged.,8.455094324477088e-18
210.0,30000.0,1.0,-2.5272650135105947,0.07987718483269123,10.918117505763078,-13.223096244754924,55166.8498551658,1.808349070333919e-06,1.5298649324856821,True,7,The solution converged.,1.1990691191035806e-17
210.0,30000.0,1.0,-2.502300577897645,0.08189637274779156,10.94295586875097,-13.1981532440177,56554.26330723644,1.8540219641026987e-06,1.5299388628894668,True,7,The solution converged.,1.548947372171543e-17
210.0,30000.0,1.0,-2.477336142284695,0.08396660302054416,10.967794253669746,-13.173210235894917,57976.57065365577,1.9008484175721672e-06,1.5300127933295635,True,7,The solution converged.,1.3021532154348318e-17
210.0,30000.0,1.0,-2.452371706671745,0.0860891659331735,10.992632660512903,-13.14826722038905,59434.64951867363,1.9488575665348536e-06,1.5300867238059608,True,7,The solution converged.,4.6752241126493914e-17
210.0,30000.0,1.0,-2.427407271058795,0.08826538438450515,11.017471089273933,-13.123324197502571,60929.39960065092,1.9980792826831795e-06,1.5301606543186477,True,7,The solution converged.,3.009182647573176e-17
210.0,30000.0,1.0,-2.402442835445845,0.09049661471446961,11.042309539946332,-13.098381167237955,62461.743227290404,2.0485441921967265e-06,1.5302345848676124,True,7,The solution converged.,4.630991829441625e-17
