T_K,p_Pa,F,log_w,w_m_s,source,n_continuation,q_continuation,s_continuation,n_check,q_check,s_check,abs_diff_n,abs_diff_q,abs_diff_s,rel_diff_n,rel_diff_q,rel_diff_s,check_converged,check_iterations,check_message,check_residual_norm
190.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,root_solve,280505.1056943831,8.856166855150392e-07,1.5797557455282432,280505.10569431883,8.856166855150093e-07,1.5797557455283924,6.426125764846802e-08,2.9963790509120874e-20,1.4921397450962104e-13,2.2909122274045936e-13,3.383381433435294e-14,9.445382612595744e-14,True,10.0,The solution converged.,5.4382760894123495e-15
190.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,analytic_eq92_94,280505.1056943831,8.856166855150392e-07,1.5797557455282432,280374.0245912535,8.855585636377957e-07,1.58007524222691,131.08110312960343,5.8121877243570227e-11,0.0003194966986668213,0.0004673038047030038,6.562870618203051e-05,0.00020220347115655857,True,,direct formula,
190.0,30000.0,1.0,-1.5536520246055479,0.21147425268811285,root_solve,407126.5556281212,1.287502867081141e-06,1.581027575321969,407126.55562802136,1.2875028670810952e-06,1.581027575322129,9.98261384665966e-08,4.573977915173222e-20,1.6009416015094757e-13,2.451968241486564e-13,3.552596294828259e-14,1.0125956223017105e-13,True,10.0,The solution converged.,5.835617013802239e-15
190.0,30000.0,1.0,-1.5536520246055479,0.21147425268811285,analytic_eq92_94,407126.5556281212,1.287502867081141e-06,1.581027575321969,406935.07480259816,1.2874180835780873e-06,1.5813499270369207,191.48082552303094,8.478350305368537e-11,0.00032235171495176296,0.00047032261314325553,6.585111786655318e-05,0.00020384591002939784,True,,direct formula,
190.0,30000.0,1.0,-1.1791854904112986,0.3075291220361377,root_solve,590908.7281491108,1.8717652395416691e-06,1.5822994151228742,590908.7281489564,1.8717652395415992e-06,1.5822994151230458,1.5436671674251556e-07,6.988021814847978e-20,1.716404796070492e-13,2.6123614255290274e-13,3.733385825969876e-14,1.0847534794399312e-13,True,10.0,The solution converged.,6.263818575962043e-15
190.0,30000.0,1.0,-1.1791854904112986,0.3075291220361377,analytic_eq92_94,590908.7281491108,1.8717652395416691e-06,1.5822994151228742,590629.04599884,1.871641579953139e-06,1.5826246118469314,279.68215027078986,1.2365958853010088e-10,0.00032519672405717515,0.00047330854486924155,6.606575756283456e-05,0.00020547938002661847,True,,direct formula,
190.0,30000.0,1.0,-0.8047189562170498,0.4472135954999581,root_solve,857657.0884415573,2.7211676858165638e-06,1.583571264881468,857657.0884413196,2.7211676858164477e-06,1.5835712648816516,2.3760367184877396e-07,1.1604351377383915e-19,1.836308882730009e-13,2.7703807856415197e-13,4.264474930328191e-14,1.1595997751747823e-13,True,10.0,The solution converged.,6.7095425340359505e-15
190.0,30000.0,1.0,-0.8047189562170498,0.4472135954999581,analytic_eq92_94,857657.0884415573,2.7211676858165638e-06,1.583571264881468,857248.6190240491,2.7209873466208073e-06,1.5838992966569418,408.4694175081095,1.803391957564654e-10,0.0003280317754739137,0.0004762619268387747,6.627272427805179e-05,0.00020710393404825306,True,,direct formula,
190.0,30000.0,1.0,-0.430252422022801,0.6503449126242365,root_solve,1244827.7173172163,3.956033700487068e-06,1.5848431245485948,1244827.717316847,3.956033700486892e-06,1.584843124548791,3.6926940083503723e-07,1.7618285302889447e-19,1.9628743075372768e-13,2.9664297773740625e-13,4.453522552328176e-14,1.2385290866539943e-13,True,10.0,The solution converged.,7.185317750458033e-15
190.0,30000.0,1.0,-0.430252422022801,0.6503449126242365,analytic_eq92_94,1244827.7173172163,3.956033700487068e-06,1.5848431245485948,1244231.2169346174,3.955770734556869e-06,1.5851739814669525,596.5003825989552,2.629659301989161e-10,0.0003308569183577692,0.0004791830823662087,6.647211578772436e-05,0.00020871962461280585,True,,direct formula,
190.0,30000.0,1.0,-0.055785887828552205,0.945741609003176,root_solve,1806787.5917978429,5.7512918495539696e-06,1.5861149940754316,1806787.5917972715,5.751291849553704e-06,1.5861149940756412,5.713663995265961e-07,2.659683454378503e-19,2.0961010704922955e-13,3.162332983248232e-13,4.624497458922676e-14,1.3215315902828753e-13,True,10.0,The solution converged.,7.683274105448366e-15
190.0,30000.0,1.0,-0.055785887828552205,0.945741609003176,analytic_eq92_94,1806787.5917978429,5.7512918495539696e-06,1.5861149940754316,1805916.5894915438,5.750908445269274e-06,1.5864486662769632,871.0023062990513,3.834042846957879e-10,0.0003336722015316873,0.0004820723311655915,6.666402866088635e-05,0.00021032650386018515,True,,direct formula,
190.0,30000.0,1.0,0.3186806463656966,1.3753120438672644,root_solve,2622450.017981294,8.361257001314024e-06,1.5873868734134848,2622450.0179804135,8.361257001313623e-06,1.5873868734137084,8.805654942989349e-07,4.0149361699853836e-19,2.2359891715950653e-13,3.3577970533706316e-13,4.801833228370341e-14,1.4085974938085031e-13,True,10.0,The solution converged.,8.199806197096318e-15
190.0,30000.0,1.0,0.3186806463656966,1.3753120438672644,analytic_eq92_94,2622450.017981294,8.361257001314024e-06,1.5873868734134848,2621178.3133218666,8.360698063338134e-06,1.587723351086974,1271.7046594275162,5.589379758895896e-10,0.0003364776734890995,0.0004849299894022183,6.68485582732057e-05,0.00021192462355532088,True,,direct formula,
190.0,30000.0,1.0,0.6931471805599453,2.0,root_solve,3806357.7134527694,1.2155658124771653e-05,1.5886587625145885,3806357.71345141,1.2155658124771026e-05,1.5886587625148265,1.3592652976512909e-06,6.2680438096818225e-19,2.3803181647963356e-13,3.571039297875904e-13,5.156482475357186e-14,1.4983193502349883e-13,True,10.0,The solution converged.,8.743088760718078e-15
190.0,30000.0,1.0,0.6931471805599453,2.0,analytic_eq92_94,3806357.7134527694,1.2155658124771653e-05,1.5886587625145885,3804501.138232535,1.2154843382075614e-05,1.5889980358969846,1856.5752202342264,8.147426960386983e-10,0.0003392733823961436,0.00048775636973701986,6.702579882354197e-05,0.0002135140350910659,True,,direct formula,
210.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,root_solve,3567.0054860347404,1.1383483270091774e-07,1.511275419282703,3567.005486034709,1.1383483270091733e-07,1.5112754192827071,3.1377567211166024e-11,4.1028158382630173e-22,4.218847493575595e-15,8.796613106992129e-15,3.6041831317506215e-15,2.791580832816017e-15,True,10.0,The solution converged.,4.395759120250889e-17
210.0,30000.0,1.0,-5.298317366548036,0.005000000000000002,analytic_eq92_94,3567.0054860347404,1.1383483270091774e-07,1.511275419282703,3566.1838040538773,1.1383022997555126e-07,1.511405694140278,0.8216819808631044,4.602725366475965e-12,0.00013027485757510782,0.0002303562425345543,4.043336522985778e-05,8.619449965034777e-05,True,,direct formula,
210.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,root_solve,5176.962186893689,1.6548248107750322e-07,1.5123842368944824,5176.96218689368,1.6548248107750322e-07,1.5123842368944829,9.094947017729282e-12,0.0,4.440892098500626e-16,1.756811560407878e-15,0.0,2.936351748560615e-16,True,10.0,The solution converged.,6.514005726627117e-17
210.0,30000.0,1.0,-4.9238508323537875,0.007271077167244771,analytic_eq92_94,5176.962186893689,1.6548248107750322e-07,1.5123842368944824,5175.748521061477,1.6547568736021034e-07,1.5125171574070195,1.2136658322124276,6.793717292882454e-12,0.00013292051253710468,0.00023443590824074735,4.105399706752424e-05,8.788033371137202e-05,True,,direct formula,
210.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,root_solve,7513.607605239846,2.40563456896432e-07,1.5134930633148223,7513.607605239846,2.40563456896432e-07,1.513493063314823,0.0,0.0,6.661338147750939e-16,0.0,0.0,4.401300745416967e-16,True,10.0,The solution converged.,8.570202400395916e-17
210.0,30000.0,1.0,-4.549384298159539,0.010573712634405643,analytic_eq92_94,7513.607605239846,2.40563456896432e-07,1.5134930633148223,7511.81577897386,2.405534339707249e-07,1.5136286206737612,1.7918262659859465,1.0022925707099666e-11,0.000135557358938998,0.0002384774877964563,4.16643734522603e-05,8.95578724447331e-05,True,,direct formula,
210.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,root_solve,10904.966094764497,3.4971001232873917e-07,1.5146018985013987,10904.966094764497,3.4971001232873975e-07,1.5146018985013994,0.0,5.823351512373315e-22,6.661338147750939e-16,0.0,1.6651943916604707e-15,4.39807856727362e-16,True,10.0,The solution converged.,9.415337129186577e-17
210.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,analytic_eq92_94,10904.966094764497,3.4971001232873917e-07,1.5146018985013987,10902.321843993464,3.496952319716924e-07,1.5147400839405027,2.6442507710326026,1.4780357046767285e-11,0.0001381854391040438,0.00024248133814025469,4.226460932114592e-05,9.122716205183064e-05,True,,direct formula,
210.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,root_solve,15827.138755656752,5.083785888816876e-07,1.515710742412165,15827.138755656724,5.083785888816876e-07,1.5157107424121656,2.7284841053187847e-11,0.0,6.661338147750939e-16,1.7239275825162028e-15,0.0,4.3948610782752694e-16,True,10.0,The solution converged.,9.349363761658523e-17
210.0,30000.0,1.0,-3.800451229771041,0.022360679774997897,analytic_eq92_94,15827.138755656752,5.083785888816876e-07,1.515710742412165,15823.238191934146,5.083568024096426e-07,1.5158515472072445,3.9005637226055114,2.1786472045045635e-11,0.00014080479507949661,0.00024644781238247613,4.285481828212063e-05,9.288824841648299e-05,True,,direct formula,
210.0,30000.0,1.0,-3.4259846955767923,0.03251724563121182,root_solve,22971.151740367925,7.390387433083571e-07,1.5168195950053533,22971.151740367884,7.390387433083585e-07,1.5168195950053542,4.001776687800884e-11,1.376428539288238e-21,8.881784197001252e-16,1.7420879601645905e-15,1.862457891079647e-15,5.855531024419487e-16,True,10.0,The solution converged.,1.3750281005567546e-16
210.0,30000.0,1.0,-3.4259846955767923,0.03251724563121182,analytic_eq92_94,22971.151740367925,7.390387433083571e-07,1.5168195950053533,22965.40028633974,7.39006643077318e-07,1.516963010473986,5.751454028184526,3.210023103911743e-11,0.00014341546863261279,0.0002503772598427146,4.343511261049531e-05,9.454117710345594e-05,True,,direct formula,
210.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,root_solve,33339.98436099956,1.0743552931532477e-06,1.5179284562394726,33339.98436099956,1.0743552931532477e-06,1.5179284562394735,0.0,0.0,8.881784197001252e-16,0.0,0.0,5.851253503083437e-16,True,10.0,The solution converged.,1.5376930825107029e-16
210.0,30000.0,1.0,-3.051518161382543,0.04728708045015881,analytic_eq92_94,33339.98436099956,1.0743552931532477e-06,1.5179284562394726,33331.50700230567,1.0743080155004239e-06,1.5180744737407277,8.477358693889983,4.727765282382953e-11,0.00014601750125509128,0.00025427002610734953,4.4005603290759576e-05,9.618599336255596e-05,True,,direct formula,
210.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,root_solve,48389.40287541559,1.5618143605251556e-06,1.5190373260733052,48389.4028754155,1.5618143605251583e-06,1.5190373260733063,8.731149137020111e-11,2.752857078576476e-21,1.1102230246251565e-15,1.8043514939623284e-15,1.7626019763647397e-15,7.308727742030342e-16,True,10.0,The solution converged.,1.8378217022529944e-16
210.0,30000.0,1.0,-2.6770516271882943,0.06876560219336322,analytic_eq92_94,48389.40287541559,1.5618143605251556e-06,1.5190373260733052,48376.912290485314,1.5617447560816239e-06,1.5191859370074692,12.490584930274053,6.960444353172267e-11,0.00014861093416396187,0.00025812645306726737,4.456640000948536e-05,9.782274213036717e-05,True,,direct formula,
210.0,30000.0,1.0,-2.3025850929940455,0.10000000000000002,root_solve,70232.3780844573,2.270448493877273e-06,1.520146204465906,70232.3780844573,2.270448493877273e-06,1.520146204465907,0.0,0.0,1.1102230246251565e-15,0.0,0.0,7.303396353347643e-16,True,10.0,The solution converged.,1.9506041290026197e-16
210.0,30000.0,1.0,-2.3025850929940455,0.10000000000000002,analytic_eq92_94,70232.3780844573,2.270448493877273e-06,1.520146204465906,70213.98093221581,2.2703460566648958e-06,1.5202974002742107,18.39715224149404,1.0243721237705413e-10,0.0001511958083046938,0.00026194687896472353,4.511761119148792e-05,9.94514680334408e-05,True,,direct formula,
210.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,root_solve,101935.79508613903,3.3006133453290183e-06,1.5212550913765985,101935.79508613903,3.3006133453290183e-06,1.5212550913765999,0.0,0.0,1.3322676295501878e-15,0.0,0.0,8.757687235377498e-16,True,10.0,The solution converged.,2.2981775499504705e-16
210.0,30000.0,1.0,-1.9281185587997967,0.1454215433448954,analytic_eq92_94,101935.79508613903,3.3006133453290183e-06,1.5212550913765985,101908.70752029476,3.300462641488864e-06,1.5214088635409524,27.087565844267374,1.50703840154213e-10,0.00015377216435386032,0.00026573163844337023,4.5659344002679665e-05,0.00010107221539117921,True,,direct formula,
210.0,30000.0,1.0,-1.5536520246055479,0.21147425268811285,root_solve,147951.12611079088,4.798200584394136e-06,1.5223639867649739,147951.12611079062,4.798200584394144e-06,1.5223639867649754,2.6193447411060333e-10,8.470329472543003e-21,1.5543122344752192e-15,1.7704121691811783e-15,1.7653137511783553e-15,1.0209859455347035e-15,True,10.0,The solution converged.,2.490651009028376e-16
210.0,30000.0,1.0,-1.5536520246055479,0.21147425268811285,analytic_eq92_94,147951.12611079088,4.798200584394136e-06,1.5223639867649739,147911.2560841158,4.797978947331231e-06,1.522520326807694,39.870026675082045,2.216370629049485e-10,0.00015634004272002677,0.0002694810625856677,4.6191704370552985e-05,0.00010268502821754033,True,,direct formula,
