T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,-4.524419862546589,0.010841001883693226,9.943353059785107,-16.53398699894288,20813.416042018027,6.597519499693133e-08,1.5828473381326178,True,7,The solution converged.,4.764378216063971e-18
190.0,30000.0,1.0,-4.499455426933639,0.01111504784609142,9.96818923298062,-16.509041728359975,21336.81434918666,6.764166291981267e-08,1.5829321280929127,True,7,The solution converged.,6.5362420595422646e-18
190.0,30000.0,1.0,-4.474490991320689,0.011396021322229808,9.9930254296858,-16.484096450078003,21873.375151661017,6.935022470182388e-08,1.5830169180973552,True,7,The solution converged.,2.4522591717440294e-18
190.0,30000.0,1.0,-4.449526555707739,0.01168409743034841,10.017861649893318,-16.459151164099723,22423.42947451786,7.110194361883108e-08,1.5831017081459304,True,7,The solution converged.,3.2992662255689275e-18
190.0,30000.0,1.0,-4.424562120094789,0.011979455715441087,10.042697893595852,-16.43420587042788,22987.31666813786,7.289790980500128e-08,1.583186498238624,True,7,The solution converged.,4.9657446434492345e-18
190.0,30000.0,1.0,-4.399597684481839,0.012282280261157907,10.067534160786083,-16.409260569065236,23565.384617595508,7.473924093124826e-08,1.5832712883754212,True,7,The solution converged.,3.0744854992428852e-18
190.0,30000.0,1.0,-4.374633248868889,0.012592759804536299,10.092370451456697,-16.38431526001453,24157.989957315494,7.662708290081977e-08,1.5833560785563077,True,7,The solution converged.,1.8868555203679577e-18
190.0,30000.0,1.0,-4.349668813255939,0.01291108785363242,10.11720676560038,-16.359369943278523,24765.498291128162,7.856261056245277e-08,1.5834408687812687,True,7,The solution converged.,5.593043410560106e-18
190.0,30000.0,1.0,-4.324704377642989,0.013237462808126103,10.142043103209824,-16.334424618859952,25388.284417859697,8.054702844154599e-08,1.58352565905029,True,7,The solution converged.,3.0063757682402937e-18
190.0,30000.0,1.0,-4.2997399420300395,0.013572088082974535,10.166879464277724,-16.309479286761565,26026.732562596662,8.258157148980001e-08,1.5836104493633567,True,7,The solution converged.,6.7586887621512396e-18
190.0,30000.0,1.0,-4.27477550641709,0.013915172235191722,10.191715848796774,-16.284533946986112,26681.2366137668,8.466750585379466e-08,1.5836952397204547,True,7,The solution converged.,5.767193138952674e-18
190.0,30000.0,1.0,-4.24981107080414,0.014266929093832781,10.216552256759678,-16.259588599536333,27352.20036618357,8.680612966298241e-08,1.5837800301215692,True,7,The solution converged.,5.447830035574411e-18
190.0,30000.0,1.0,-4.22484663519119,0.01462757789326406,10.24138868815914,-16.23464324441497,28040.03777020302,8.899877383758452e-08,1.5838648205666859,True,7,The solution converged.,3.405301980597345e-18
190.0,30000.0,1.0,-4.19988219957824,0.014997343409802136,10.266225142987864,-16.209697881624766,28745.17318714815,9.124680291689642e-08,1.58394961105579,True,7,The solution converged.,4.9378624420742745e-18
190.0,30000.0,1.0,-4.17491776396529,0.015376456101806879,10.291061621238562,-16.18475251116846,29468.04165115729,9.355161590851807e-08,1.5840344015888672,True,7,The solution converged.,8.65761669092764e-18
190.0,30000.0,1.0,-4.14995332835234,0.015765152253315866,10.315898122903949,-16.15980713304879,30209.089137618812,9.591464715903238e-08,1.5841191921659032,True,7,The solution converged.,4.149054740420466e-18
190.0,30000.0,1.0,-4.12498889273939,0.01616367412130969,10.34073464797674,-16.134861747268495,30968.77283835725,9.833736724668263e-08,1.5842039827868832,True,7,The solution converged.,6.41848739655613e-18
190.0,30000.0,1.0,-4.10002445712644,0.016572270086699935,10.365571196449658,-16.10991635383031,31747.561443741386,1.0082128389659492e-07,1.584288773451793,True,7,The solution converged.,5.869788576773883e-18
