T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-3.4010202599638424,0.033339237912842906,11.079106218435484,-15.408721996658793,64802.93784555838,2.0327176758602856e-07,1.5747533130591214,True,7,The solution converged.,3.986743728973323e-18
190.0,30000.0,1.0,10000000000.0,-3.3760558243508925,0.03418200905498155,11.103940113126466,-15.383777473918673,66432.39633721535,2.0840605476410734e-07,1.5748380987369661,True,7,The solution converged.,6.613275035332588e-18
190.0,30000.0,1.0,10000000000.0,-3.3510913887379425,0.03504608431930435,11.128774032041688,-15.358832943210597,68102.82892622442,2.1367002670467423e-07,1.5749228844603793,True,7,The solution converged.,8.42605486368755e-18
190.0,30000.0,1.0,10000000000.0,-3.3261269531249926,0.03593200224539737,11.153607975173506,-15.333888404537442,69815.26598149892,2.1906695910201469e-07,1.5750076702293458,True,7,The solution converged.,5.597673814756505e-18
190.0,30000.0,1.0,10000000000.0,-3.3011625175120427,0.03684031498640387,11.178441942514274,-15.30894385790209,71570.76378348678,2.2460021039189767e-07,1.5750924560438504,True,7,The solution converged.,1.7673976853171204e-18
190.0,30000.0,1.0,10000000000.0,-3.2761980818990923,0.03777158865315674,11.203275934056357,-15.283999303307413,73370.4051758148,2.3027322384159108e-07,1.5751772419038776,True,7,The solution converged.,2.214966360723524e-18
190.0,30000.0,1.0,10000000000.0,-3.2512336462861424,0.03872640366701012,11.22810994979212,-15.25905474075629,75215.30023332087,2.3608952969266178e-07,1.5752620278094125,True,7,The solution converged.,3.381895432412096e-18
190.0,30000.0,1.0,10000000000.0,-3.2262692106731925,0.03970535512159018,11.25294398971393,-15.234110170251595,77106.58694688746,2.4205274735791233e-07,1.5753468137604398,True,7,The solution converged.,2.217551072498691e-18
190.0,30000.0,1.0,10000000000.0,-3.2013047750602426,0.04070905315369045,11.277778053814162,-15.209165591796198,79045.43192549887,2.481665876738045e-07,1.5754315997569444,True,7,The solution converged.,4.2136205878779e-18
190.0,30000.0,1.0,10000000000.0,-3.1763403394472927,0.04173812332354285,11.30261214208519,-15.184221005392974,81033.03111595439,2.544348552097813e-07,1.575516385798911,True,7,The solution converged.,6.598882450818958e-18
