backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.5635914292,0.010424552590465071,9.922641191,-16.570356964,20386.76492299405,20386.76492299405,6.361879038060839e-08,6.361879038060839e-08,1.5708049715,1.2631886191728276e-12,True,,26,raw/bs2026_T190K/b.bs2026_T190K,1,27,0,0,19.377898915
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.5346653541,0.010730497542745153,9.9514146947,-16.541454395,20981.884356107297,20981.884356107297,6.548436697037275e-08,6.548436697037275e-08,1.5709032095,3.8067875265060963e-13,True,,27,raw/bs2026_T190K/b.bs2026_T190K,1,28,0,0,19.367965944
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.5057392936,0.011045421358330624,9.9801882169,-16.512551829,21594.37659385321,21594.37659385321,6.740465008830034e-08,6.740465008830034e-08,1.5710014475,1.4847896139150291e-12,True,,28,raw/bs2026_T190K/b.bs2026_T190K,1,29,0,0,19.358113811
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.4768132478,0.011369587542763217,10.008961758,-16.483649267,22224.748805977255,22224.748805977255,6.93812438838759e-08,6.93812438838759e-08,1.5710996854,1.455967928748001e-12,True,,29,raw/bs2026_T190K/b.bs2026_T190K,1,30,0,0,19.348342638
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.4478872165,0.011703267338070542,10.037735317,-16.454746709,22873.52293702715,22873.52293702715,7.141579961193797e-08,7.141579961193797e-08,1.5711979234,1.1911944178698231e-12,True,,30,raw/bs2026_T190K/b.bs2026_T190K,1,31,0,0,19.33865255
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.4189611999,0.01204673994177751,10.066508894,-16.425844155,23541.23619285007,23541.23619285007,7.351001694849805e-08,7.351001694849805e-08,1.5712961614,1.3338577874459066e-12,True,,31,raw/bs2026_T190K/b.bs2026_T190K,1,32,0,0,19.329043669
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.3900351979,0.012400292748497872,10.09528249,-16.396941604,24228.441484195246,24228.441484195246,7.566564548629693e-08,7.566564548629693e-08,1.5713943995,1.6021566510845152e-12,True,,32,raw/bs2026_T190K/b.bs2026_T190K,1,33,0,0,19.319516114
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.3611092105,0.012764221585807572,10.124056104,-16.368039057,24935.707815449106,24935.707815449106,7.788448597376855e-08,7.788448597376855e-08,1.5714926375,5.579651226758303e-13,True,,33,raw/bs2026_T190K/b.bs2026_T190K,1,34,0,0,19.310070008
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.3321832376,0.013138830964205648,10.152829737,-16.339136514,25663.62085143029,25663.62085143029,8.016839203774125e-08,8.016839203774125e-08,1.5715908755,1.0276589223954248e-12,True,,34,raw/bs2026_T190K/b.bs2026_T190K,1,35,0,0,19.300705468
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.3032572794,0.013524434326670493,10.181603388,-16.310233975,26412.783303993452,26412.783303993452,8.25192716605164e-08,8.25192716605164e-08,1.5716891136,6.421060474490562e-13,True,,35,raw/bs2026_T190K/b.bs2026_T190K,1,36,0,0,19.291422616
