branch_id,T_K,w_m_s,residual_norm,equilibrium_residual_norm,eigen_residual_norm,physical_residual_norm,converged,iterations,message
lower_hopf,224.0,0.03359016816496965,1.4210196536201751e-14,8.498539687352873e-16,1.4184760619386748e-14,3.2152059829202952e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,225.0,0.03578349237948884,9.791531339698062e-15,6.478934867424932e-16,9.77007267148643e-15,1.8012259470695251e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,226.0,0.03809129203630062,9.522934731898315e-15,5.05901140848581e-16,9.509487364925795e-15,2.774669422574415e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,227.0,0.04051689419865343,2.0757651589863633e-15,4.062712313979357e-16,2.035618992296959e-15,2.660982570390071e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,228.0,0.04306342317781152,4.4039110951061972e-16,3.3300421985984216e-16,2.8818833927057593e-16,2.5295321558113643e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,229.0,0.045733756081150614,4.3950123380539013e-16,9.331330359410462e-17,4.2948103786874533e-16,1.4175327580567031e-12,True,11,`gtol` termination condition is satisfied.
lower_hopf,230.0,0.0485304752467498,8.384739733957494e-15,2.380587087517487e-16,8.381359582871567e-15,3.865352482540909e-12,True,3,`gtol` termination condition is satisfied.
lower_hopf,231.0,0.05145581790919968,1.709735988760468e-13,1.0211772197587226e-14,1.7066836619951552e-13,1.1944933953235971e-10,True,10,`gtol` termination condition is satisfied.
lower_hopf,232.0,0.05451162363196903,3.926745887337853e-15,8.152935684976149e-17,3.925899416400834e-15,5.613287661761252e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,233.0,0.05769928005977726,1.5937768481977761e-16,8.855915933198695e-17,1.3250857223939935e-16,1.1652900881757785e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,234.0,0.06101966800266859,4.4036348715004324e-15,6.322757865648491e-17,4.4031809359588964e-15,6.963318828906347e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,235.0,0.06447310669596767,4.988004691826022e-16,6.166635183293467e-17,4.949739075026085e-16,8.029132926590215e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,236.0,0.06805930054647852,1.8053095378109128e-15,4.58356252871535e-17,1.804727575775798e-15,5.186961984535742e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,237.0,0.0717772887118105,3.816574054058796e-15,4.3176821857043294e-17,3.81632981700601e-15,5.542233349021684e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,238.0,0.07562539905865638,3.2834463372395495e-16,3.19599157789004e-17,3.267854988807241e-16,2.9132252305846196e-13,True,5,`gtol` termination condition is satisfied.
lower_hopf,239.0,0.07960120816830832,3.665221263511212e-15,5.3331144905433215e-17,3.6648332430654735e-15,1.0018652577491761e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,240.0,0.08370150914011534,5.0337396873751116e-15,6.81451715286143e-17,5.033278402378774e-15,1.4495071811330585e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,190.0,0.04294079570880711,1.0635676509472304e-13,1.0256265679696418e-13,2.815426987442996e-14,9.330314354395149e-10,True,6,`gtol` termination condition is satisfied.
upper_hopf,191.0,0.04708093417215959,2.928079020074592e-14,2.914972948683595e-14,2.7672993376909473e-15,2.9059066407987607e-10,True,6,`gtol` termination condition is satisfied.
upper_hopf,192.0,0.051559830804672184,3.668775601770535e-14,7.487804133607025e-15,3.591551518315466e-14,8.828848794249139e-11,True,6,`gtol` termination condition is satisfied.
upper_hopf,193.0,0.05640002086412994,1.927260146122026e-14,1.8183732539062998e-15,1.9186627785843648e-14,2.8760993642289442e-11,True,6,`gtol` termination condition is satisfied.
upper_hopf,194.0,0.06162508655844299,3.926616495568086e-15,4.294386551765128e-16,3.9030628415012215e-15,1.12940767924224e-11,True,6,`gtol` termination condition is satisfied.
upper_hopf,195.0,0.0672596682051507,6.696181821426862e-15,9.551372917840921e-17,6.6955005871963e-15,5.105249557066324e-12,True,6,`gtol` termination condition is satisfied.
upper_hopf,196.0,0.07332947156423358,1.4296895667061023e-15,3.4157331141722675e-17,1.4292814746849402e-15,3.0482283364562617e-12,True,6,`gtol` termination condition is satisfied.
upper_hopf,197.0,0.079861273365164,3.4700183443042912e-12,3.2960178086154293e-12,1.0850317576450182e-12,3.5974835703701526e-08,True,5,`gtol` termination condition is satisfied.
upper_hopf,198.0,0.08688290788428511,1.6573614647958462e-12,1.629473194078928e-12,3.02760854088584e-13,1.836142267581759e-08,True,5,`gtol` termination condition is satisfied.
upper_hopf,199.0,0.09442327913991519,7.509020922683678e-13,7.493989643340679e-13,4.748836097444167e-14,8.720416420720805e-09,True,5,`gtol` termination condition is satisfied.
upper_hopf,200.0,0.10251233165775554,3.1192434024807083e-13,3.118935809424325e-13,4.3804344648153474e-15,3.74955534566835e-09,True,5,`gtol` termination condition is satisfied.
upper_hopf,201.0,0.11118103445012224,1.0449981188880216e-13,1.0354871308559077e-13,1.4066794343880923e-14,1.2852865479712882e-09,True,5,`gtol` termination condition is satisfied.
upper_hopf,202.0,0.12046135236146711,1.3134027207296951e-14,1.2485474750221961e-14,4.0762226317494475e-15,1.5180035057416e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,203.0,0.1303862086685606,1.9844557565820563e-14,1.9509552509968436e-14,3.630953847675642e-15,2.5978153034288663e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,204.0,0.14098943778103235,2.2986225603815777e-14,2.0494144713829285e-14,1.040944762982835e-14,2.8779112498337764e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,205.0,0.15230572739461024,2.296363247999396e-14,1.727350427740965e-14,1.5131241411547966e-14,2.5574564745618597e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,206.0,0.1643705483689171,1.785705986586101e-14,1.295601451439521e-14,1.2288867928158585e-14,2.050128959513545e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,207.0,0.1772200713644635,1.1881226815830443e-14,9.221792593259988e-15,7.491467948012835e-15,1.597015855507651e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,208.0,0.19089106876438777,1.3461795252101496e-14,6.26032486869325e-15,1.1917561157716928e-14,1.1753797951280069e-10,True,5,`gtol` termination condition is satisfied.
upper_hopf,209.0,0.20542080037705013,7.791538017180193e-15,4.170312844534093e-15,6.581531391088111e-15,9.005418642446176e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,210.0,0.22084688130544672,6.16897046548216e-15,2.7179395157100634e-15,5.537960038943305e-15,6.839684379664676e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,211.0,0.23720713026704854,4.108034425761365e-15,1.751942275684746e-15,3.7157294177468115e-15,4.7322146232996334e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,212.0,0.2545393965453538,5.326148190017431e-15,1.1350430794427164e-15,5.203799741519186e-15,3.652189663495543e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,213.0,0.27288136366579835,5.791139022839243e-15,7.188927715614119e-16,5.746345305048088e-15,3.318234576716588e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,214.0,0.29227032781569157,1.1981171213709552e-15,4.542241741927921e-16,1.1086771559390498e-15,2.218314421468866e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,215.0,0.3127429489777669,3.759472603904985e-15,2.912167142607168e-16,3.748176501293305e-15,1.5631940189176685e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,216.0,0.33433497273024626,3.1118383876420896e-15,2.0286506806460728e-16,3.1052188191755605e-15,1.944044925115395e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,217.0,0.357080920691183,2.6839292803215824e-16,1.39584084065756e-16,2.2924015200919587e-16,1.6683543435986875e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,218.0,0.38101374766382246,1.9100893267135833e-15,7.444648076951424e-17,1.9086379849322354e-15,6.167510946759281e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,219.0,0.4061644636873708,2.230830419117808e-15,4.685351674023045e-17,2.2303383390935126e-15,3.552713679061243e-12,True,5,`gtol` termination condition is satisfied.
upper_hopf,220.0,0.43256171942868105,2.1402212290493319e-16,7.629602435572695e-17,1.9996096059042287e-16,1.4267698134086146e-11,True,5,`gtol` termination condition is satisfied.
upper_hopf,221.0,0.46023135368229573,7.283484239753982e-16,4.5824606546343784e-17,7.269054492451678e-16,8.753886504579141e-12,True,5,`gtol` termination condition is satisfied.
