backend,schema_version,branch_id,point_index,log_w,w_m_s,n,q,s,jacobian_coordinate_system,jacobian_method,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,10,-7.497226839040807,0.0005546202908235715,190.37647050015252,3.828390718874034e-08,1.435833756227807,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006107113306154137,-6073834.995149548,132.56112845800135,1.0218325563030627e-12,-0.005081323351589465,3.347730963270838e-10,-2.753419291276313e-09,-6.846039040581314,-1.256599824284521e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,11,-7.486859276990679,0.0005604002614326813,192.32841254235558,3.867822607233957e-08,1.4358606780039729,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006107301898616834,-6073741.21492041,133.92442169036573,1.0219114498121919e-12,-0.005081480256410973,3.382107683371437e-10,-2.753631888214076e-09,-6.846250507917723,-1.2694197422823096e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,12,-7.476491714940551,0.0005662404679559741,194.30036797027861,3.9076606385228037e-08,1.4358875997801388,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006107490496903413,-6073647.436139242,135.30173538603634,1.0219903474629954e-12,-0.005081637170924308,3.4168374064158063e-10,-2.75384449106053e-09,-6.846461955665844,-1.2823704316052688e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,13,-7.4661241528904245,0.0005721415381415128,196.33480174167573,3.9487628145889775e-08,1.4359150896873096,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006107683096283459,-6073551.672333682,136.7227318094235,1.0220709181546002e-12,-0.005081797425641374,3.4526680501514213e-10,-2.7540615899699454e-09,-6.846677828475706,-1.2958543388187436e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,14,-7.455756590840297,0.0005781041062794332,198.39053717509975,3.990297318084181e-08,1.4359425795944805,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006107875701737114,-6073455.910038039,138.15865214217163,1.0221514931656711e-12,-0.005081957690464819,3.4888744317047683e-10,-2.7542786950408782e-09,-6.846893680862868,-1.3094800236339436e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,15,-7.445389028790169,0.0005841288132701187,200.42465155724554,4.031396847344129e-08,1.4359695013975615,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006108064270348567,-6073362.159224667,139.57951319637536,1.0222303915522682e-12,-0.00508211457523455,3.5247005562058875e-10,-2.7544913053476346e-09,-6.847105122576343,-1.3228394340975125e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,16,-7.435021466740042,0.0005902163066930904,202.47962188029743,4.0729196962644286e-08,1.4359964232006426,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006108252844781702,-6073268.409858444,141.01498677106946,1.0223092940797536e-12,-0.005082271469692458,3.560894567606354e-10,-2.754703921561969e-09,-6.847316544708857,-1.3363351191015091e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,17,-7.424653904689914,0.0005963672408766155,204.59970070165375,4.115760152434371e-08,1.4360239131346826,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006108445420816121,-6073172.675585327,142.49598764778372,1.0223898700045706e-12,-0.005082431705193751,3.598235916547009e-10,-2.7549210343455173e-09,-6.847532390224373,-1.3503864926126604e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,18,-7.4142863426397865,0.0006025822769680362,206.74197797521487,4.1590512201610625e-08,1.4360514030687226,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006108638002921924,-6073076.94282129,143.99254264145424,1.022470450248075e-12,-0.005082591950797706,3.6359688458375904e-10,-2.755138153289459e-09,-6.847748215324758,-1.3645856107785227e-06
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,19,-7.403918780589659,0.0006088620830048363,208.86172411721185,4.201888918731622e-08,1.4360783248987046,physical_ode_state,sacado_forward_ad_physical_ode_state,-0.0006108826547690866,-6072983.221407249,145.4734024952899,1.0225493535111672e-12,-0.0050827488155229614,3.673305487159195e-10,-2.7553507769626306e-09,-6.847959631424887,-1.3785072176800733e-06
