backend,schema_version,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigen_index,eigenvalue_real,eigenvalue_imag,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,source_file
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,7,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5283295251911895,0.0005376356137196611,5.217970484157717,-17.109410216894425,184.55923782270565,3.710885498785329e-08,1.4357518547179973,1.8225493784165175e-14,1.8593681370866025e-14,1.2484988321424663e-14,true,1,converged,1,-0.0026735961943746803,0.0008216373456554689,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,7,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5283295251911895,0.0005376356137196611,5.217970484157717,-17.109410216894425,184.55923782270565,3.710885498785329e-08,1.4357518547179973,1.8225493784165175e-14,1.8593681370866025e-14,1.2484988321424663e-14,true,1,converged,2,-0.0026735961943746803,-0.0008216373456554689,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,7,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5283295251911895,0.0005376356137196611,5.217970484157717,-17.109410216894425,184.55923782270565,3.710885498785329e-08,1.4357518547179973,1.8225493784165175e-14,1.8593681370866025e-14,1.2484988321424663e-14,true,1,converged,3,-0.0003455255708718624,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,8,230.0,30000.0,1.0,10000000000.0,10000.0,-7.517961963141062,0.0005432385786618486,5.228171323555712,-17.09916304538694,186.4515320530573,3.749107076011955e-08,1.435778776467233,8.487555749168874e-11,8.333249154199216e-11,5.8039924044971065e-11,true,0,converged,1,-0.002671500869283778,0.000817724627140615,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,8,230.0,30000.0,1.0,10000000000.0,10000.0,-7.517961963141062,0.0005432385786618486,5.228171323555712,-17.09916304538694,186.4515320530573,3.749107076011955e-08,1.435778776467233,8.487555749168874e-11,8.333249154199216e-11,5.8039924044971065e-11,true,0,converged,2,-0.002671500869283778,-0.000817724627140615,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,8,230.0,30000.0,1.0,10000000000.0,10000.0,-7.517961963141062,0.0005432385786618486,5.228171323555712,-17.09916304538694,186.4515320530573,3.749107076011955e-08,1.435778776467233,8.487555749168874e-11,8.333249154199216e-11,5.8039924044971065e-11,true,0,converged,3,-0.0003499044455476,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,9,230.0,30000.0,1.0,10000000000.0,10000.0,-7.507594401090935,0.0005488999348551773,5.238587429485252,-17.088699626142937,188.40378072535356,3.788541504836543e-08,1.43580626634752,1.8584935314632183e-14,2.103797719133942e-14,1.274461843875814e-14,true,1,converged,1,-0.0026693254504525,0.0008136497910600606,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,9,230.0,30000.0,1.0,10000000000.0,10000.0,-7.507594401090935,0.0005488999348551773,5.238587429485252,-17.088699626142937,188.40378072535356,3.788541504836543e-08,1.43580626634752,1.8584935314632183e-14,2.103797719133942e-14,1.274461843875814e-14,true,1,converged,2,-0.0026693254504525,-0.0008136497910600606,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,9,230.0,30000.0,1.0,10000000000.0,10000.0,-7.507594401090935,0.0005488999348551773,5.238587429485252,-17.088699626142937,188.40378072535356,3.788541504836543e-08,1.43580626634752,1.8584935314632183e-14,2.103797719133942e-14,1.274461843875814e-14,true,1,converged,3,-0.0003544477587825344,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,10,230.0,30000.0,1.0,10000000000.0,10000.0,-7.497226839040807,0.0005546202908235715,5.249003535414792,-17.078236206898932,190.37647050015252,3.828390718874034e-08,1.435833756227807,9.069077364286917e-11,8.512504986182198e-11,5.928614539629965e-11,true,0,converged,1,-0.0026671129368056523,0.0008094921390933416,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,10,230.0,30000.0,1.0,10000000000.0,10000.0,-7.497226839040807,0.0005546202908235715,5.249003535414792,-17.078236206898932,190.37647050015252,3.828390718874034e-08,1.435833756227807,9.069077364286917e-11,8.512504986182198e-11,5.928614539629965e-11,true,0,converged,2,-0.0026671129368056523,-0.0008094921390933416,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,10,230.0,30000.0,1.0,10000000000.0,10000.0,-7.497226839040807,0.0005546202908235715,5.249003535414792,-17.078236206898932,190.37647050015252,3.828390718874034e-08,1.435833756227807,9.069077364286917e-11,8.512504986182198e-11,5.928614539629965e-11,true,0,converged,3,-0.00035906540841785525,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
