start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
paper_0.99,29,61071.204167324526,63532.571144660891,2461.3669773363654,1.4774227986708468,1.3567388583895432,0.12068394028130358,4.3719704977724356e-05,4.5067186247401759e-05
paper_0.99,30,63532.571144660891,65994.008410482973,2461.4372658220818,1.4774227986708468,1.3567300227365757,0.12069277593427108,2.8556686736941147e-05,7.3213162802797914e-05
paper_0.99,31,65994.008410482973,68455.507573495357,2461.4991630123841,1.4774229619266017,1.3567223631281207,0.12070059879848105,2.5146767363005877e-05,6.4816341735584354e-05
paper_0.99,32,68455.507573495357,70917.027267588215,2461.5196940928581,1.4774229619266017,1.3567234810305484,0.12069948089605331,8.3408846050158099e-06,9.2617802965915277e-06
paper_0.99,33,70917.027267588215,73378.582322584305,2461.5550549960899,1.4774229321166341,1.3567176277746402,0.12070530434199389,1.4365476464248986e-05,4.8247481243049582e-05
paper_0.99,34,73378.582322584305,75840.154507069063,2461.5721844847576,1.4774230649934261,1.3567213163539062,0.12070174863951988,6.9588078612904465e-06,2.945771516334912e-05
paper_0.99,35,75840.154507069063,78301.728360557667,2461.5738534886041,1.4774230649934261,1.356718283999369,0.12070478099405713,6.780235237433864e-07,2.5122705937782671e-05
paper_0.99,36,78301.728360557667,80763.319564264209,2461.5912037065427,1.4774229995171078,1.3567145139441747,0.12070848557293301,7.0484246954714861e-06,3.0691235636037715e-05
paper_0.99,37,80763.319564264209,83224.915368900794,2461.5958046365849,1.4774230968884758,1.3567191688048752,0.12070392808360064,1.8690877816299349e-06,3.7756163626250423e-05
paper_0.99,38,83224.915368900794,85686.506422560153,2461.5910536593583,1.4774230968884758,1.3567166613925945,0.12070643549588134,1.9300395368324153e-06,2.0773245084102426e-05
paper_0.99,39,85686.506422560153,88148.107587026854,2461.6011644667014,1.4774230268605459,1.3567135980995342,0.12070942876101176,4.1074277257072144e-06,2.4797891828447202e-05
paper_0.99,40,88148.107587026854,90609.715191176787,2461.6076041499327,1.4774231044366493,1.3567129477119531,0.1207101567246962,2.6160546737827982e-06,6.0307110381989385e-06
paper_0.99,41,90609.715191176787,93071.309462156918,2461.5942709801311,1.4774231044366493,1.3567169776282775,0.12070612680837178,5.416448088293382e-06,3.3385064138494733e-05
paper_0.99,42,93071.309462156918,95532.916096021276,2461.6066338643577,1.4774230279608123,1.3567131881828076,0.12070983977800465,5.0223078483530288e-06,3.0760407371513228e-05
paper_0.99,43,95532.916096021276,97994.521793230146,2461.60569720887,1.4774231102467832,1.3567182512538696,0.12070485899291361,3.8050575378828254e-07,4.1262461288951873e-05
paper_0.99,44,97994.521793230146,100456.12199704624,2461.600203816095,1.4774231102467832,1.3567159490446219,0.12070716120216129,2.2316298589901761e-06,1.9073045334649502e-05
paper_0.99,45,100456.12199704624,102917.73272376662,2461.610726720377,1.4774231085977461,1.3567126743922968,0.12071043420544925,4.2748226400278099e-06,2.7115237036099909e-05
paper_0.99,46,102917.73272376662,105379.3291661484,2461.5964423817786,1.4774231085977461,1.3567167854282132,0.12070632316953289,5.8028421973134431e-06,3.4057005456192169e-05
paper_0.99,47,105379.3291661484,107840.93731687556,2461.6081507271592,1.4774230306687091,1.3567130586909375,0.12070997197777156,4.7564032751375844e-06,3.0228807761302171e-05
paper_0.99,48,107840.93731687556,110302.54393411972,2461.6066172441642,1.4774231115124064,1.3567181608899443,0.120704950622462,6.2295982995818281e-07,4.1598512759808853e-05
paper_0.99,49,110302.54393411972,112764.14488238377,2461.6009482640511,1.4774231115124064,1.3567158729815285,0.12070723853087784,2.3029594060243502e-06,1.8954553264251164e-05
paper_0.99,50,112764.14488238377,115225.75607146941,2461.6111890856409,1.4774231092437597,1.3567126327841239,0.12071047645963584,4.1602281625111241e-06,2.6824644465509241e-05
paper_0.99,51,115225.75607146941,117687.35284775923,2461.5967762898217,1.4774231092437597,1.356716754433569,0.12070635481019076,5.8550253115234323e-06,3.4144919032401468e-05
paper_0.99,52,117687.35284775923,120148.96123939171,2461.6083916324715,1.4774230310423202,1.3567130386451567,0.12070999239716351,4.7186211655893304e-06,3.0135836497332914e-05
paper_0.99,53,120148.96123939171,122610.56796919758,2461.606729805877,1.4774231116862762,1.3567181464450404,0.12070496524123575,6.7509787509206255e-07,4.1646559890592901e-05
paper_0.99,54,122610.56796919758,125072.16904406434,2461.6010748667613,1.4774231116862762,1.3567158569505504,0.12070725473572574,2.2972553036834935e-06,1.8967691059083401e-05
paper_0.99,55,125072.16904406434,127533.78030089519,2461.6112568308454,1.4774231093454118,1.3567126264210887,0.12071048292432307,4.1363176950154245e-06,2.6743948442816849e-05
paper_0.99,56,127533.78030089519,129995.37712901486,2461.5968281196692,1.4774231093454118,1.3567167492968941,0.12070636004851765,5.8614905729377347e-06,3.4155076721946573e-05
paper_0.99,57,129995.37712901486,132456.98555976045,2461.6084307455894,1.4774230310906724,1.3567130355041357,0.12070999558653672,4.7134550173544465e-06,3.0118860494296008e-05
paper_0.99,58,132456.98555976045,134918.59230052689,2461.6067407664377,1.4774231117085503,1.3567181440792317,0.12070496762931859,6.8653451564363489e-07,4.1653196934501952e-05
paper_0.99,59,134918.59230052689,137380.19339775146,2461.6010972245713,1.4774231117085503,1.3567158534878172,0.12070725822073314,2.2926252894037095e-06,1.8976778334249597e-05
paper_0.99,60,137380.19339775146,139841.80466438807,2461.6112666366098,1.4774231093616133,1.3567126254434203,0.12071048391819295,4.1312185187062781e-06,2.6723309827061096e-05
paper_0.99,61,139841.80466438807,142303.40150062725,2461.5968362391868,1.4774231093616133,1.3567167484268929,0.12070636093472031,5.8621755671036662e-06,3.4155968386525212e-05
paper_0.99,62,142303.40150062725,144765.00993784456,2461.6084372173063,1.4774230310963126,1.356713035006146,0.12070999609016653,4.7127855986586143e-06,3.0115690822451624e-05
paper_0.99,63,144765.00993784456,147226.6166790225,2461.6067411779368,1.4774231117110972,1.3567181436838542,0.12070496802724295,6.8899640735709647e-07,4.1654072458236769e-05
paper_0.99,64,147226.6166790225,149688.21778029396,2461.6011012714589,1.4774231117110972,1.3567158527499195,0.12070725896117773,2.291148453380806e-06,1.8979615936451669e-05
paper_0.99,65,149688.21778029396,152149.82904832007,2461.611268026114,1.4774231093642447,1.3567126252920949,0.12071048407214979,4.130138977360315e-06,2.6718450901927399e-05
paper_0.99,66,152149.82904832007,154611.42588584914,2461.5968375290686,1.4774231093642447,1.3567167482750506,0.12070636108919408,5.8622160342023628e-06,3.415596406065087e-05
paper_0.99,67,154611.42588584914,157073.03432416756,2461.6084383184207,1.4774230310968037,1.3567130349257595,0.12070999617104428,4.7127089112334436e-06,3.0115081072728502e-05
paper_0.99,68,157073.03432416756,159534.64106513606,2461.6067409685056,1.4774231117113044,1.3567181436158122,0.12070496809549214,6.8952880101743755e-07,4.165417704937564e-05
paper_0.99,69,159534.64106513606,161996.24216716536,2461.6011020292935,1.4774231117113044,1.3567158525915308,0.12070725911977354,2.2907555127419565e-06,1.8980364417025061e-05
paper_0.99,70,161996.24216716536,164457.85343538102,2461.6112682156672,1.477423109364683,1.3567126252684096,0.12071048409627338,4.1299081176475073e-06,2.6717336830996131e-05
