time_s,n_kg_dry_air_minus1,q_kg_kg_dry_air_minus1,s
232817.48719311156,10160.664517881216,1.9163159594904996e-06,1.4124166286353528
232870.62453940118,9245.5134529267343,1.7602178953996353e-06,1.4182016365586101
232923.76188569079,8407.7319045248842,1.6162052659983762e-06,1.4241678214232005
232976.89923198041,7641.1395818603987,1.4833667139804179e-06,1.4303056068017981
233030.03657827002,6940.0386061806657,1.3608564102276552e-06,1.4366061511752499
233083.17392455964,6299.2459171140608,1.2478922926821763e-06,1.4430612756022236
233136.31127084926,5714.839823122451,1.1437647666887778e-06,1.4496633531669152
233167.3929097965,5400.1754334815896,1.0867283731154722e-06,1.453590220707019
233193.63298396979,5156.6736177051189,1.0407972459249946e-06,1.4569411165017769
233214.37286318748,4991.8562590137299,1.0060920079939981e-06,1.4596113515994003
233231.93857781935,4894.3070288488634,9.7812800731158198e-07,1.4618861393302489
233247.34968865805,4877.0599036557123,9.5520704446364033e-07,1.4638893687540049
233262.76079949675,4993.4703749317678,9.3478429382625101e-07,1.4658950099853736
233277.11980513134,5345.4571000776832,9.1962847996306918e-07,1.4677581016898495
233292.74200421714,6271.5573312302777,9.1052757937744497e-07,1.469762091065415
233301.84347658497,7280.0137907637227,9.1070970629087289e-07,1.4709064065564441
233309.27831778475,8510.0176917956451,9.1497185041822186e-07,1.4718200857797916
233316.71315898452,10249.806719919274,9.2381187965783485e-07,1.4727069505852506
233323.43831013062,12405.521387995466,9.3651442816855911e-07,1.4734784009097261
233329.79590904532,15092.616321918089,9.5333825601539505e-07,1.4741731775167277
233336.04934855373,18490.664302038684,9.7515439660524396e-07,1.4748158991179783
233342.37766961579,22831.053687569041,1.0033189279288319e-06,1.4754163983667294
233348.94840019205,28429.297600001752,1.0399423053552753e-06,1.4759763588900594
233355.97716212261,35747.868805062019,1.088555798319496e-06,1.4764908555479559
233363.67068976947,45331.842575508846,1.154357666579864e-06,1.4769376837504169
233371.06790328393,55906.984896800299,1.2313470849751087e-06,1.4772374037357996
233377.79901095436,66353.348275467157,1.3139623184699652e-06,1.4773890298997845
233384.17577474908,76575.463775978715,1.4036963272635267e-06,1.4774204715956014
233390.37075987906,86406.021319106512,1.501637813437713e-06,1.4773443476540329
233396.50830642437,95674.477957101277,1.6089248156921207e-06,1.4771660544069303
233402.69054734876,104222.26183690326,1.7268413735380336e-06,1.4768862933454594
233409.01266087088,111914.61628846783,1.8569315209293031e-06,1.4765019391858496
233415.57321157775,118647.77975119435,2.001130512253475e-06,1.4760060086383902
233422.48365961423,124352.9696869372,2.1619459876357635e-06,1.4753869270271007
233429.87977480877,128997.70236250598,2.3427324108927796e-06,1.4746269640128509
233437.93818117943,132584.61949307894,2.5481344167337958e-06,1.4736993796764133
233446.90360177853,135147.67099058972,2.784848202076951e-06,1.4725632369288573
233457.13844207127,136744.84348151053,3.0630211858124188e-06,1.4711535177586523
233469.22119636482,137444.91086940153,3.3990118497101584e-06,1.4693609495798552
233484.14349577847,137301.93481757154,3.8207877843843535e-06,1.4669898606430638
233503.41041814984,136324.72427401689,4.3696678755736043e-06,1.4637208187784021
233527.37844855725,134587.98511615806,5.0490744839322533e-06,1.4593969070129695
233557.41400059673,132051.271635774,5.8795208865259032e-06,1.453679336869232
233594.57773127459,128568.8713969603,6.8509212535498098e-06,1.4463060805127699
233633.52620447276,124599.24140750602,7.776764435906385e-06,1.438411893272125
233675.59775571231,120018.58334996695,8.6477340911263912e-06,1.4298920469267413
233721.12167985374,114806.86674259913,9.4222946496430216e-06,1.4208812069462922
233770.11375495649,109003.87396720223,1.0053745057570412e-05,1.4116170103991592
233822.51527837117,102687.57024267856,1.0503043404648476e-05,1.4023748137918712
233875.65262466078,96275.8147911087,1.0738809665750277e-05,1.3938306694086575
233928.7899709504,89950.45508160282,1.0780833617705448e-05,1.3861938141616845
233981.92731724001,83785.803870797929,1.0660826495225062e-05,1.3794957341796532
234035.06466352963,77838.247095858867,1.0411047428119297e-05,1.3737368172031192
234088.20200981924,72148.313131282484,1.006197138412448e-05,1.3688957703005553
234141.33935610886,66743.007100814561,9.6408951080999989e-06,1.3649369814630661
234194.47670239848,61638.164312100809,9.1712699029414704e-06,1.3618160925713698
234247.61404868809,56840.662635832574,8.6725504786898693e-06,1.3594840919147637
