T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,s,n,q,branch,point,type_code,label
210.0,30000.0,1.0,10000000000.0,-4.1296645028,0.016088275488633903,9.3419898467,-14.820950013,1.5147358988,11407.08402053111,3.6588380998617684e-07,1,42,0,0
210.0,30000.0,1.0,10000000000.0,-4.1007377395,0.01656045359330643,9.3707651654,-14.7920499,1.5148215545,11740.094765872767,3.766121721811227e-07,1,43,0,0
210.0,30000.0,1.0,10000000000.0,-4.0718109901,0.01704648951329509,9.3995405016,-14.76314979,1.5149072101,12082.8274145804,3.876551078191524e-07,1,44,0,0
210.0,30000.0,1.0,10000000000.0,-4.0428842548,0.017546789947052697,9.4283158551,-14.734249683,1.5149928658,12435.565791226447,3.9902184068330454e-07,1,45,0,0
210.0,30000.0,1.0,10000000000.0,-4.0139575334,0.018061773535611992,9.4570912261,-14.70534958,1.5150785215,12798.602011609519,4.107218646005736e-07,1,46,0,0
210.0,30000.0,1.0,10000000000.0,-3.985030826,0.018591871200882674,9.4858666144,-14.676449479,1.5151641772,13172.236714871124,4.2276495300284765e-07,1,47,0,0
210.0,30000.0,1.0,10000000000.0,-3.9561041325,0.01913752651499275,9.5146420201,-14.647549383,1.5152498329,13556.779321229527,4.3516116379064466e-07,1,48,0,0
210.0,30000.0,1.0,10000000000.0,-3.927177453,0.01969919606409675,9.5434174432,-14.618649289,1.5153354887,13952.548283231763,4.4792085235036477e-07,1,49,0,0
210.0,30000.0,1.0,10000000000.0,-3.8982507874,0.02027734983795848,9.5721928836,-14.589749199,1.5154211444,14359.871349304476,4.6105467551389646e-07,1,50,0,0
210.0,30000.0,1.0,10000000000.0,-3.8693241358,0.020872471615425537,9.6009683415,-14.560849112,1.5155068002,14779.085840899621,4.7457360393044657e-07,1,51,0,0
210.0,30000.0,1.0,10000000000.0,-3.8403974981,0.021485059377213556,9.6297438167,-14.531949029,1.5155924559,15210.538921851048,4.884889289879105e-07,1,52,0,0
210.0,30000.0,1.0,10000000000.0,-3.8114708744,0.022115625714337457,9.6585193092,-14.503048949,1.5156781117,15654.587894429562,5.028122741164168e-07,1,53,0,0
210.0,30000.0,1.0,10000000000.0,-3.7825442646,0.022764698265478753,9.6872948191,-14.474148872,1.5157637675,16111.600494083434,5.175556030870027e-07,1,54,0,0
210.0,30000.0,1.0,10000000000.0,-3.7536176687,0.02343282015208399,9.7160703463,-14.445248799,1.5158494233,16581.955189259003,5.327312299326992e-07,1,55,0,0
210.0,30000.0,1.0,10000000000.0,-3.7246910867,0.02412055043488699,9.7448458909,-14.416348728,1.5159350791,17066.04150120849,5.483518313495936e-07,1,56,0,0
210.0,30000.0,1.0,10000000000.0,-3.6957645186,0.02482846458167996,9.7736214527,-14.387448662,1.5160207349,17564.260318296132,5.64430453005337e-07,1,57,0,0
210.0,30000.0,1.0,10000000000.0,-3.6668379645,0.0255571549462564,9.8023970319,-14.358548598,1.5161063907,18077.02423992011,5.809805264232628e-07,1,58,0,0
210.0,30000.0,1.0,10000000000.0,-3.6379114242,0.02630723127418789,9.8311726285,-14.329648538,1.5161920465,18604.757908092222,5.98015874118164e-07,1,59,0,0
210.0,30000.0,1.0,10000000000.0,-3.6089848979,0.02707932119517856,9.8599482423,-14.300748481,1.5162777024,19147.898358618735,6.155507256432612e-07,1,60,4,4
210.0,30000.0,1.0,10000000000.0,-3.5800583854,0.027874070768965285,9.8887238734,-14.271848428,1.5163633582,19706.895392357037,6.335997265675681e-07,1,61,0,0
210.0,30000.0,1.0,10000000000.0,-3.5511318868,0.028692145007380224,9.9174995219,-14.242948377,1.5164490141,20282.211942491846,6.521779537893967e-07,1,62,0,0
210.0,30000.0,1.0,10000000000.0,-3.5222054021,0.029534228441369083,9.9462751876,-14.214048331,1.51653467,20874.324451695837,6.713009230392788e-07,1,63,0,0
210.0,30000.0,1.0,10000000000.0,-3.4932789313,0.030401025691109758,9.9750508706,-14.185148287,1.5166203259,21483.72327872394,6.909846089609191e-07,1,64,0,0
210.0,30000.0,1.0,10000000000.0,-3.4643524744,0.03129326205556976,10.003826571,-14.156248247,1.5167059818,22110.913098807556,7.112454512193458e-07,1,65,0,0
210.0,30000.0,1.0,10000000000.0,-3.4354260313,0.032211684122586376,10.032602289,-14.12734821,1.5167916377,22756.41332392765,7.321003735861972e-07,1,66,0,0
210.0,30000.0,1.0,10000000000.0,-3.4064996021,0.0331570603840602,10.061378023,-14.098448176,1.5168772936,23420.758488849067,7.535667953703987e-07,1,67,0,0
210.0,30000.0,1.0,10000000000.0,-3.3775731867,0.03413018189166167,10.090153775,-14.069548146,1.5169629495,24104.498817913733,7.756626458632732e-07,1,68,0,0
210.0,30000.0,1.0,10000000000.0,-3.3486467852,0.0351318629056218,10.118929545,-14.040648119,1.5170486054,24808.20055413336,7.984063815961107e-07,1,69,0,0
210.0,30000.0,1.0,10000000000.0,-3.3197203976,0.03616294158587241,10.147705331,-14.011748096,1.5171342614,25532.44642132402,8.218169986955225e-07,1,70,0,0
210.0,30000.0,1.0,10000000000.0,-3.2907940238,0.03722428069383383,10.176481135,-13.982848075,1.5172199174,26277.8362569901,8.45914052745893e-07,1,71,0,0
210.0,30000.0,1.0,10000000000.0,-3.2618676638,0.038316768307164614,10.205256956,-13.953948058,1.5173055733,27044.987334679965,8.707176693917631e-07,1,72,0,0
210.0,30000.0,1.0,10000000000.0,-3.2329413177,0.03944131856228205,10.234032795,-13.925048045,1.5173912293,27834.535003017896,8.962485660303475e-07,1,73,0,0
210.0,30000.0,1.0,10000000000.0,-3.2040149854,0.04059887243082074,10.26280865,-13.896148034,1.5174768853,28647.13307655831,9.22528069363802e-07,1,74,0,0
210.0,30000.0,1.0,10000000000.0,-3.1750886669,0.04179039849555642,10.291584523,-13.867248027,1.5175625413,29483.45457141317,9.495781277836405e-07,1,75,0,0
210.0,30000.0,1.0,10000000000.0,-3.1461623622,0.04301689376453604,10.320360413,-13.838348023,1.5176481973,30344.19206693895,9.774213360053349e-07,1,76,0,0
